"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adaptive LDPC in image transmission under Rayleigh fading channel","Yuling Zhang; Dongfeng Yuan; Haigang Zhang","School of Information Science and Engineering, Shandong University, Jinan, Shandong, China; State Key Laboratory on Mobile Communications, South-East University, Nanjing, Jiangsu, China; School of Information Science and Engineering, Shandong University, Jinan, Shandong, China","The 6th International Conference on Advanced Communication Technology, 2004.","27 Sep 2004","2004","1","","192","196","An adaptive coded modulation scheme based on LDPC (low-density parity-check) codes is proposed for Image transmission under Rayleigh fading channels. The code rate is fixed to 1/2, and only the modulation mode is changed according to the channel state, that is, during poor channel conditions BPSK modulation is employed, as channel conditions improve, more efficient modulation scheme such as 8PSK is used. Through simulation, we get the performance of our adaptive LDPC scheme in image transmission under certain demand of BER, and the comparison between adaptive LDPC and nonadaptive LDPC in Image transmission is also given.","","89-5519-119-7","10.1109/ICACT.2004.1292855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292855","Adaptive LDPC;Image Tmnsmisslon;Rayleigh fading channel","Parity check codes;Image communication;Fading;Modulation coding;Rayleigh channels;Binary phase shift keying;Bit error rate;Radio transmitters;Error correction codes;Power system modeling","","","","6","IEEE","27 Sep 2004","9-11 Feb. 2004","9-11 Feb. 2004","IEEE","IEEE Conferences"
"Constructions of regular and irregular LDPC codes using Ramanujan graphs and ideas from Margulis","J. Rosenthal; P. O. Vontobel","Department of Mathematics, University of Notre Dame, Notre Dame, IN, USA; Laboratory for Signal and Inform. Proc EE Departmentartment, ETH Zurich, Zurich, Switzerland",Proceedings. 2001 IEEE International Symposium on Information Theory (IEEE Cat. No.01CH37252),"7 Aug 2002","2001","","","4","","Some twenty years ago Margulis (1982) proposed an algebraic construction of low density parity check (LDPC) codes. In this paper we mimick the construction of Margulis and describe a method for algebraically constructing regular and irregular LDPC codes.","","0-7803-7123-2","10.1109/ISIT.2001.935867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935867","","Parity check codes;Iterative decoding;Graph theory;Mathematics;Thumb","","44","11","5","IEEE","7 Aug 2002","29-29 June 2001","29-29 June 2001","IEEE","IEEE Conferences"
"ECC-less LDPC coding for magnetic recording channels","T. Morita; Y. Sato; T. Sugawara","Fujitsu Laboratories Ltd., Japan; Fujitsu Laboratories Ltd., Japan; NA",2002 IEEE International Magnetics Conference (INTERMAG),"7 Aug 2002","2002","","","EC1","","Summary form only given. Low-density parity check (LDPC) codes are receiving considerable attention as a next-generation coding technique for magnetic recording channels, because they show a 5 dB gain over the conventional PRML method. The gain, however, reduces to 1-1.5 dB if the code is combined with an error correcting code (ECC). After the LDPC code, the ECC is not effective in the sense that its gain is less than the rate loss. In fact, we found that ECC-less LDPC codes perform better than LDPC codes with ECC. However, it is still difficult to avoid use of the ECC since the iterative decoder is unable to correct erasures caused by thermal asperity (TA) or media defects. This paper presents a method of erasure compensation for the iterative decoder. The method enables the use of ECC-less LDPC codes, which leads to better performance than using LDPC codes with ECC.","","0-7803-7365-0","10.1109/INTMAG.2002.1001121","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1001121","","Parity check codes;Magnetic recording;Error correction codes;Iterative decoding;Detectors;Laboratories;Iterative methods","","","","2","IEEE","7 Aug 2002","28 April-2 May 2002","28 April-2 May 2002","IEEE","IEEE Conferences"
"LDPC codes and thresholds for partial response channels","A. Thangaraj; S. W. McLaughlin","School of ECE, Georgia Institute of Technology, Atlanta, GA, USA; School of ECE, Georgia Institute of Technology, Atlanta, GA",2002 IEEE International Magnetics Conference (INTERMAG),"7 Aug 2002","2002","","","EC2","","Summary form only given. The ultimate performance limit or threshold of low-density parity-check (LDPC) codes is close to capacity over various memoryless channels (S.-Y. Chung, IEEE Trans. Info. Theory, vol. 47, pp. 657-670, 2001). Since the capacity of binary-input partial response (PR) channels is unknown, we estimate the capacity by calculating the threshold of capacity-approaching LDPC codes over these channels. We assume a BCJR equalizer for the channel and a sum-product message-passing decoder for the LDPC code. We also assume that the log-likelihood ratios (LLRs) in the channel BCJR and the LDPC decoder are Gaussian. We use our results to guide the design of decoder schedules that minimize the number of computationally expensive BCJR steps. The threshold calculation method can be used to optimize the left and right degree sequences of the LDPC code factor graph, using fast linear programming methods, to provide better thresholds than regular codes.","","0-7803-7365-0","10.1109/INTMAG.2002.1001122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1001122","","Parity check codes;Partial response channels;Decoding;Processor scheduling;Computational modeling;Magnetic recording;Linear code;Geometry;Bit error rate;Memoryless systems","","","","1","IEEE","7 Aug 2002","28 April-2 May 2002","28 April-2 May 2002","IEEE","IEEE Conferences"
"A statistical-mechanical analysis of coded CDMA with regular LDPC codes","T. Tanaka; D. Saad","Department of Electro. & Info. Engineering, Tokyo Metropolitan University, Hachioji, Tokyo, Japan; Neural Computing Research Grp, Aston University, Birmingham, UK","IEEE International Symposium on Information Theory, 2003. Proceedings.","15 Sep 2003","2003","","","444","","Performance of LDPC-coded CDMA system is analyzed, using the replica method of statistical mechanics in the infinite codelength and large system limits. The analysis also gives the information-theoretic and decoding thresholds of the optimum joint detection/decoding scheme.","","0-7803-7728-1","10.1109/ISIT.2003.1228461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1228461","","Multiaccess communication;Parity check codes;Decoding;Performance analysis;Equations;Information analysis;Concatenated codes;Binary phase shift keying;Power control;Additive white noise","","5","","3","IEEE","15 Sep 2003","29 June-4 July 2003","29 June-4 July 2003","IEEE","IEEE Conferences"
"Efficient high-speed quasicyclic LDPC decoder architecture","Y. Zhang; Z. Wang; K. K. Parhi","Department of Electrical & Computer Engineering, University of Minnesota, Minneapolis, MN, USA; School of EECS, Oregon State University, Corvallis, OR, USA; Department of Electrical & Computer Engineering, University of Minnesota, Minneapolis, MN, USA","Conference Record of the Thirty-Eighth Asilomar Conference on Signals, Systems and Computers, 2004.","21 Mar 2005","2004","1","","540","544 Vol.1","This paper studies load imbalance problem in the two stages of belief propagation decoding algorithm for LDPC codes and redistributes computational load between two stages. To further reduce the critical path delay, new look-up-tables (LUT) are developed to replace both conventional LUTs and data format transformation blocks. The adder trees are also reorganized for speed. This novel approach can reduce the critical path delay by 41.0% with negligible increase in the logic core size. This paper also exploits the similarity between these two stages and derives an area efficient design that remaps the functional units for these two stages onto the same hardware, which can reduce the logic core size by 10.2% and reduce the critical path delay by 16.2%.","","0-7803-8622-1","10.1109/ACSSC.2004.1399191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1399191","","Parity check codes;Table lookup;Hardware;Iterative decoding;Belief propagation;Delay;Chromium;Logic;Character generation;Computer architecture","","1","2","8","IEEE","21 Mar 2005","7-10 Nov. 2004","7-10 Nov. 2004","IEEE","IEEE Conferences"
"An efficient encoding method for LDPC codes based on cyclic shift","H. Fujita; K. Sakaniwa","Department of Communications and Integrated Systems, Tokyo Institute of Technology, Meguro, Tokyo, Japan; Department of Communications and Integrated Systems, Tokyo Institute of Technology, Meguro, Tokyo, Japan","International Symposium onInformation Theory, 2004. ISIT 2004. Proceedings.","10 Jan 2005","2004","","","276","","Low-density parity-check (LDPC) codes are one of the most promising next generation error correcting codes and many investigations shows that LDPC codes suitable for many hardware implementation. Although randomly constructed LDPC codes are usually encoded by using generator matrix, this method requires quadratic time complexity and is not easy to implement. This work presents the encoding of array-type LDPC codes and a special class of Sridhara-Fuja-Tanner (SFT) codes by division circuits as cyclic codes, which are very easy to implement.","","0-7803-8280-3","10.1109/ISIT.2004.1365312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1365312","","Encoding;Parity check codes;Circuits;Electronic mail;Error correction codes;Hardware;Hamming distance;Reed-Solomon codes;Polynomials;Galois fields","","2","","3","IEEE","10 Jan 2005","27 June-2 July 2004","27 June-2 July 2004","IEEE","IEEE Conferences"
"Rate-compatible array LDPC codes","A. Dholakia; S. Olcer","IBM Zurich Research Laboratory, Ruschlikon, Switzerland; IBM Zurich Research Laboratory, Ruschlikon, Switzerland","International Symposium onInformation Theory, 2004. ISIT 2004. Proceedings.","10 Jan 2005","2004","","","153","","Rate-compatible low-density parity-check (LDPC) codes obtained from the class of array LDPC codes are presented. Our approach builds on the deterministic array LDPC code construction and allows efficient encodability across all codes in a rate-compatible family. Furthermore, the use of permutation matrices as building blocks of the parity-check matrix permits efficient decoder implementation. The suitability of rate-compatible array (RCA) LDPC codes for various applications is examined.","","0-7803-8280-3","10.1109/ISIT.2004.1365191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1365191","","Parity check codes;Automatic repeat request;Decoding;Encoding;Sparse matrices;Turbo codes;Laboratories;Convolutional codes;Bit error rate;Throughput","","1","2","5","IEEE","10 Jan 2005","27 June-2 July 2004","27 June-2 July 2004","IEEE","IEEE Conferences"
"Regular lattice LDPC codes in perpendicular magnetic recording","B. Vasic; E. M. Kurtas; A. V. Kuznetsov","Department of Electrical and Computer Engineering, University of Arizona, Tucson; Seagate Technology, Pittsburgh, PA; Seagate Technology, Pittsburgh, PA",2002 IEEE International Magnetics Conference (INTERMAG),"7 Aug 2002","2002","","","GP5","","Summary form only given. It has been well recognized that random low-density parity check (LDPC) codes perform close to the theoretical limit. However, iterative decoders employed for their decoding have very high complexity and are incapable of operating in the >1 Gbps regime, the expected data rates of the next generation of magnetic recording channels. Efficient regular LDPC codes were proposed by B. Vasic (Proc. Globecom 2001). These codes are based on balanced incomplete block designs (BIBD), known as Steiner systems, and have reduced complexity of the LDPC encoders. In this paper, using integer lattices, we introduce a new class of well structured LDPC codes that have high rates and low hardware complexity, and investigate their performance in perpendicular magnetic recording channels.","","0-7803-7365-0","10.1109/INTMAG.2002.1001449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1001449","","Lattices;Parity check codes;Perpendicular magnetic recording;Bit error rate;Hardware;Iterative decoding;Delay;Performance gain;Detectors;Magnetic recording","","","","1","IEEE","7 Aug 2002","28 April-2 May 2002","28 April-2 May 2002","IEEE","IEEE Conferences"
"Performance analysis and code design of low-density parity-check (LDPC) coded space-time transmit diversity (STTD) system","A. Ohhashi; T. Ohtsuki","Graduate School of Science and Technology, Tokyo University of Science, Noda, Chiba, Japan; Faculty of Science and Technology, Tokyo University of Science, Noda, Chiba, Japan","IEEE Global Telecommunications Conference, 2004. GLOBECOM '04.","17 Jan 2005","2004","5","","3118","3122 Vol.5","Space-time transmit diversity (STTD) and space-time block codes (STBC) are the attractive techniques for high bit-rate and high capacity transmission. Recently, low-density parity-check (LDPC) codes have attracted much attention as good error correcting codes achieving the near Shannon limit. Concatenation schemes of LDPC codes and STBC (LDPC-STBC), and turbo codes and STBC (turbo-STBC) have been proposed. The performance of the LDPC-STBC is better than that of the turbo-STBC on a flat Rayleigh fading channel. The performance of LDPC code can be analyzed by density evolution (DE). In this paper we analyze the performance of the LDPC-STBC by using DE. Also, we optimize the irregular LDPC codes for the LDPC-STBC by using DE. Furthermore, we evaluate the error rate performance of the optimized irregular LDPC codes and the regular LDPC codes for the LDPC-STBC. From the numerical and simulation results, we show that the LDPC-STBC with the irregular LDPC codes achieves better error rate performance than the LDPC-STBC with the regular LDPC codes.","","0-7803-8794-5","10.1109/GLOCOM.2004.1378926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1378926","","Parity check codes;Performance analysis;Error analysis;Error correction codes;Block codes;Turbo codes;Fading;Transmitting antennas;Iterative decoding;Iterative algorithms","","13","","11","IEEE","17 Jan 2005","29 Nov.-3 Dec. 2004","29 Nov.-3 Dec. 2004","IEEE","IEEE Conferences"
