"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On the reduced-complexity of LDPC decoders for beyond 400 Gb/s serial optical transmission","I. B. Djordjevic; L. Xu; T. Wang","Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA; NEC Laboratories of America, Inc., Princeton, NJ, USA; NEC Laboratories of America, Inc., Princeton, NJ, USA",Asia Communications and Photonics Conference and Exhibition,"10 Jan 2011","2010","","","566","567","Two reduced-complexity (RC) LDPC decoders, which can be used in combination with large-girth LDPC codes to enable beyond 400 Gb/s serial optical transmission, are proposed. We show that optimally attenuated RC min-sum sum algorithm performs only 0.45 dB worse than conventional sum-product algorithm, while having lower storage memory requirements and much lower latency.","2162-1098","978-1-4244-7113-3","10.1109/ACP.2010.5682631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5682631","","Parity check codes;Decoding;Complexity theory;Optical attenuators;Bit error rate;Attenuation;Algorithm design and analysis","","","","4","IEEE","10 Jan 2011","8-12 Dec. 2010","8-12 Dec. 2010","IEEE","IEEE Conferences"
"Performance comparison of LDPC-Coded IDMA system with equal spreading and unequal spreading","J. Zhang; Z. Bie; W. Wu; Y. Li","Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, 100876, China; Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, 100876, China; Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, 100876, China; Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, 100876, China","IET 3rd International Conference on Wireless, Mobile and Multimedia Networks (ICWMNN 2010)","28 Jan 2011","2010","","","126","129","A scheme of applying unequal spreading to LDPCCoded IDMA system was proposed. The issue of LDPC-Coded DDMA system with equal spreading and unequal spreading was studied. Gaussian approximation was applied to the messages probability density distribution function between nodes on factor graph of LDPC-Coded spreading system. We compare two cases, the first is optimization of LDPC with fixed spreading factor, and the second is joint optimization of LDPC and spreading degree. By means of iteration and applying the method of differential evolution we obtained degree profiles in the case of 8 users with equal spreading and unequal spreading on condition that the system spectral efficiency is the same. We constructed the check matrix randomly based on the optimized degree profiles and made simulations. It has shown that the performance of LDPC-Coded spreading IDMA system cannot be improved by joint optimization of LDPC code and spreading degree for AWGN Multiple Access Channel (MAC) from the perspective of approaching MAC channel capacity. The result gives us guidance in designing LDPC-Coded IDMA spreading system.","","978-1-84919-240-8","10.1049/cp.2010.0634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5702972","Gaussian Approximation;MAC;LDPC;IDMA;Degree profiles;Unequal Spreading;Factor Graph;Differential Evolution","","","","","","","28 Jan 2011","26-29 Sept. 2010","26-29 Sept. 2010","IET","IET Conferences"
"An efficient stopping criterion of LDPC decoding for optical transmission","Ming Jiang; Jinfang Dou","National Mobile Communications Research Laboratory, Southeast University Nanjing, China; Science and Technology on Space Microwave Laboratory, China Academy of Space Technology, Xi'an, China",9th International Conference on Optical Communications and Networks (ICOCN 2010),"27 May 2011","2010","","","275","278","The stopping criterion based on parity-check constraints is an inherent advantage of low-density parity-check (LDPC) codes. However, the parity-check computation with signs of the posterior information costs additional hardware or decoding delays, which may be a particular problem for the full-parallel LDPC decoding in optical transmission. Furthermore, the performance degradation caused by using simplified stopping criterions should also be considered, where the maximum number of the iterations is usually limited by the very high decoding speed in optical transmission. In this paper, we propose an efficient early stopping criterion with the consideration of the complexity/performance tradeoffs. The new method is based an intelligent combination of check equations and temporary hard decisions, and can be pipelined with check-node updating, thus leading to lower complexity and power consumption, which are desirable for both optical and wireless communications. Simulation results show that the hybrid criterion not only achieves the same performance as the conventional stopping criterions, but also provides a noticeable gain for the other simplified stopping criterions.","","978-1-84919-314-6","10.1049/cp.2010.1204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5778466","LDPC codes;Stopping criterion;Decoding","","","3","","","","27 May 2011","24-27 Oct. 2010","24-27 Oct. 2010","IET","IET Conferences"
"Encryption scheme of physical layer based on irregular LDPC codes","Chengxin Xu; Yongyu Chang; Haibo Wang; Xin Zhang","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Guizhou Guihang UAV Company Limited, China; Beijing University of Posts and Telecommunications, Beijing, China",2010 International Conference on Advanced Intelligence and Awarenss Internet (AIAI 2010),"20 Jan 2011","2010","","","305","308","In order to improve the security level of the physical layer, a new encryption scheme based on the irregular low-density parity-check (LDPC) codes is proposed in this paper. The degree distribution property of the irregular LDPC codes and a large random number are applied to encrypt the plaintext. Analyses show that the proposed scheme can provide an acceptable security level for the communication systems. The secret key size of this scheme is much smaller than those of the previous symmetric-key McEliece-like schemes. Moreover, there is no trade-off between the error correction performance and the security level in the proposed scheme.","","978-1-84919-206-4","10.1049/cp.2010.0775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5696915","Encryption;irregular LDPC codes;physical layer;degree distribution","","","","","","","20 Jan 2011","23-25 Oct. 2010","23-25 Oct. 2010","IET","IET Conferences"
"A Configurable FPGA Implementation of PEG-based PS-LDPC Decoder","K. Wang; N. -q. Liu; B. Sun; H. -w. Sun","Communication Research Center, Harbin Institute of Technology, Harbin, China; Communication Research Center, Harbin Institute of Technology, Harbin, China; Communication Research Center, Harbin Institute of Technology, Harbin, China; School of Mechanical Science and Engineering, Daqing Petroleum Institute, Daqing, China","2010 First International Conference on Pervasive Computing, Signal Processing and Applications","15 Nov 2010","2010","","","670","674","Low-density parity-check (LDPC) codes form an important subclass of error correcting coding techniques, and its implementation has been hot spot of domains such as signal process, magnetic recording or next generation communication for years. This paper proposes a configurable FPGA implementation of Partition-and-Shift LDPC decoder based on Min-Sum algorithm. An MPEG algorithm is introduced to reduce the complexity of searching for closed paths in shift matrix. And a routing paths switch concept is proposed to realize the expected configurability. Benefits of the proposed technique are demonstrated with FPGA design for differently configured PS-LDPC decoders which all achieve a Gbps throughput, low hardware cost and excellent BER performance at 16 iterations.","","978-1-4244-8043-2","10.1109/PCSPA.2010.167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5636089","Low-density parity-check (LDPC) codes;Error correcting coding technique;Signal process;Partition-and-Shift LDPC codes;Min-Sum algorithm","Decoding;Parity check codes;Algorithm design and analysis;Throughput;Niobium;Routing;Hardware","","4","","16","IEEE","15 Nov 2010","17-19 Sept. 2010","17-19 Sept. 2010","IEEE","IEEE Conferences"
"The circulate property of generator matrices of protograph LDPC codes","K. Wang; S. Hu; Y. Xiao; K. Kim","Institute of Information Science, Beijing Jiaotong University, 100044, China; Institute of Information Science, Beijing Jiaotong University, 100044, China; Institute of Information Science, Beijing Jiaotong University, 100044, China; Dept. of Information and Communications, Gwangju Institute of Science and Technology, 500-712, Korea","IET 3rd International Conference on Wireless, Mobile and Multimedia Networks (ICWMNN 2010)","28 Jan 2011","2010","","","117","121","The LDPC application involves the problem: encoding complexity. Since the generator matrices are dense and with random positions of ""1s"", the encoder needs to store every ""1"" of the generator matrices by using huge chip area. To solve problem, we need to design the LDPC codes with block cyclic generator matrices. This paper reveals that the protograph LDPC codes can have lower encoding complexity under the condition of the proposed theorem that the parity check matrices of the LDPC codes are nonsingular and circulate. The circulate property of generator matrix of protograph LDPC codes can be obtained from the quasi-cyclic parity check matrix of protograph LDPC codes. Thus it can reduce the encoding complexity. We give an algorithm of protograph LDPC codes with fast encoding based on the theorem, and it verifies that protograph LDPC codes with circulate property of generator matrices can simplify encoder hardware implementation.","","978-1-84919-240-8","10.1049/cp.2010.0632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5702970","Protograph LDPC codes;cyclic matrices;fast encoding algorithm;BER performance","","","","","","","28 Jan 2011","26-29 Sept. 2010","26-29 Sept. 2010","IET","IET Conferences"
"A design of rate-adaptive LDPC codes for distributed source coding using PEG algorithm","M. Jang; J. W. Kang; S. -H. Kim","School of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea; School of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea; School of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea",2010 - MILCOM 2010 MILITARY COMMUNICATIONS CONFERENCE,"6 Jan 2011","2010","","","277","282","We propose a method for constructing rate-adaptive low-density parity check (LDPC) codes with large girth by syndrome merging with progressive-edge-growth (PEG) algorithm. Proposed scheme has a different structure from LDPC accumulate (LDPCA) codes. As a result, the new construction method turns the girth up for each specific code, and eliminates error floor.","2155-7586","978-1-4244-8180-4","10.1109/MILCOM.2010.5680317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680317","low-density parity check (LDPC) codes;rate-adaptive LDPC codes;girth;progressive edge growth (PEG) algorithm;distributed source coding (DSC)","Parity check codes;Decoding;Algorithm design and analysis;Merging;Floors;Source coding","","7","","16","IEEE","6 Jan 2011","31 Oct.-3 Nov. 2010","31 Oct.-3 Nov. 2010","IEEE","IEEE Conferences"
"Application of vectorization loop in the process of LDPC code decoding","J. -B. Han; C. He; H. Y. He","Hebei University of Science and Technology, Shijiazhuang, Hubei, China; The 54th Research Institute of CETC, Shijiazhuang, Hebei, China; The 54th Research Institute of CETC, Shijiazhuang, Hebei, China",2010 International Conference on Computer Application and System Modeling (ICCASM 2010),"4 Nov 2010","2010","15","","V15-387","V15-389","In the process of decoding emulation of LDPC code, belief propagation algorithm is adopted. According to this iterative decoding algorithm, a new vectorization idea is proposed, integrating iterative process and vector operation. Compared with use of simple loop statement, it has improved decoding speed greatly.","2161-9077","978-1-4244-7237-6","10.1109/ICCASM.2010.5622592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5622592","LDPC Code;Belief Propagation Algorithm;Vector Operation","Testing;Helium;Parity check codes","","","","3","IEEE","4 Nov 2010","22-24 Oct. 2010","22-24 Oct. 2010","IEEE","IEEE Conferences"
"On the universality of LDPC code ensembles under belief propagation and ML decoding","B. Shuval; I. Sason","Israel Institute of Technology-Technion, Haifa, Israel; Israel Institute of Technology-Technion, Haifa, Israel",2010 IEEE 26-th Convention of Electrical and Electronics Engineers in Israel,"13 Dec 2010","2010","","","000355","000359","A universal design of low-density parity-check (LDPC) code ensembles which enables to operate reliably over various channels is of great interest. This paper considers the universality of LDPC code ensembles over sets of memoryless binary-input output-symmetric (MBIOS) channels, addressing their universality under belief-propagation (BP) and maximum-likelihood (ML) decoding. Based on the density evolution approach, closed-form, easy-to-calculate, analytical results related to the universality of LDPC code ensembles under BP decoding are derived. LP Bounds on the achievable rate of LDPC code ensembles over a set of equi-capacity channels are also derived. This paper considers the universality under ML decoding of properly selected regular LDPC code ensembles for the set of equi-capacity MBIOS channels. The full paper version related to this work [13] provides further results, full proofs, and additional discussions on the theorems.","","978-1-4244-8682-3","10.1109/EEEI.2010.5662204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5662204","Belief propagation (BP);Bhattacharyya parameter (B-parameter);density evolution (DE);low-density parity-check (LDPC) codes","Decoding;Error probability;Channel capacity;Iterative decoding;Equations","","6","","13","IEEE","13 Dec 2010","17-20 Nov. 2010","17-20 Nov. 2010","IEEE","IEEE Conferences"
"Quasi-cyclic ldpc code design for block-fading channels","Y. Li; M. Salehi","Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA",2010 44th Annual Conference on Information Sciences and Systems (CISS),"13 May 2010","2010","","","1","5","We investigate quasi-cyclic low-density parity-check (QC-LDPC) codes for nonergodic block-fading channels. A construction method for designing QC-LDPC codes is presented. With careful design, the proposed QC-LDPC codes exhibit the same good performance as their corresponding random root- LDPC codes introduced in using iterative belief-propagation (BP) decoding. Moreover, the structure of the proposed QCLDPC codes makes an efficient encoding method possible.","","978-1-4244-7417-2","10.1109/CISS.2010.5464729","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5464729","Block-fading channels;efficient encoding;quasicyclic low-density parity-check (QC-LDPC) codes","Parity check codes;Fading;Iterative decoding;Rayleigh channels;Quantum cascade lasers;Design methodology;Mobile communication;Bipartite graph;Costs;Shift registers","","20","","10","IEEE","13 May 2010","17-19 March 2010","17-19 March 2010","IEEE","IEEE Conferences"
