"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Construction of Regular Quasi-Cyclic Protograph LDPC Codes Based on Vandermonde Matrices","N. Bonello; S. Chen; L. Hanzo","University of Southampton, Southampton, UK; University of Southampton, Southampton, UK; University of Southampton, Southampton, UK",IEEE Transactions on Vehicular Technology,"15 Jul 2008","2008","57","4","2583","2588","In this paper, we investigate the attainable performance of quasi-cyclic (QC) protograph low-density parity-check (LDPC) codes for transmission over both additive white Gaussian noise and uncorrelated Rayleigh channels. The presented codes are constructed using the Vandermonde matrix and thus have a girth of at least six in their corresponding Tanner graph. Furthermore, they also benefit from both low-complexity encoding and decoding, low memory requirements, as well as hardware-friendly implementations. Our simulation results demonstrate that the advantages offered by this family of QC protograph LDPC codes accrue with no compromise in the attainable bit error ratio (BER) and block error ratio (BLER) performances. In fact, it is also shown that despite their implementational benefits, the proposed codes exhibit slight BER/BLER gains when compared to some of their more complex counterparts of the same length.","1939-9359","","10.1109/TVT.2007.913180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4389049","Low-complexity low-density parity-check (LDPC) codes;protograph LDPC codes;quasi-cyclic (QC) LDPC codes;Vandermonde matrix (VM);Quasi-cyclic LDPC codes;Protograph LDPC codes;Low complexity LDPC codes;Vandermonde Matrix","Parity check codes;Bit error rate;Decoding;Phase change materials;Hardware;Encoding;Additive white noise;Rayleigh channels;Virtual manufacturing;Turbo codes","","33","","32","IEEE","15 Jul 2008","July 2008","","IEEE","IEEE Journals"
"Lowering the Error Floor of Optimized Short-Block-Length LDPC-Coded OFDM via Spreading","A. Serener; B. Natarajan; D. M. Gruenbacher","Department of Electrical and Electronic Engineering, Near East University, Nicosia, Cyprus; Department of Electrical and Computer Engineering, Kansas State University, Manhattan, KS, USA; Department of Electrical and Computer Engineering, Kansas State University, Manhattan, KS, USA",IEEE Transactions on Vehicular Technology,"16 May 2008","2008","57","3","1646","1656","In this paper, short-block-length low-density parity-check (LDPC) codes are optimized and introduced, along with Walsh-Hadamard spreading, to orthogonal frequency-division multiplexing (OFDM) systems. Prior research has shown that lowering the threshold associated with LDPC codes results in higher error floors. The error floor becomes more pronounced for short-block-length LDPC codes that have been proposed for many wireless standards. In this paper, we show that the use of spreading along with code optimization and girth conditioning not only improves the performance but also lowers the error floor for short-length LDPC codes. Density evolution and differential evolution methods are used during the optimization phase of the codes for the frequency-uncorrelated Rayleigh fading channel. Performance results are obtained for extended irregular repeat-accumulate codes and progressive edge-growth algorithm generated codes. Next, the performances of LDPC-coded OFDM and spread OFDM systems in correlated Rayleigh fading channels are presented. A channel statistic, namely the number of faded bits per OFDM symbol, is theoretically derived, and it is demonstrated that the distribution of this channel statistic can be used to determine how close the correlated channel performance is going to be to that of the uncorrelated fading channel.","1939-9359","","10.1109/TVT.2007.907280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4357432","Frequency-correlated fading channels;low-density parity-check (LDPC) codes;optimal LDPC code design;short-block-length LDPC codes;spread orthogonal frequency-division multiplexing (OFDM);Frequency correlated fading channels;low-density parity-check (LDPC) codes;optimal LDPC code design;short block length LDPC codes;spread OFDM","OFDM;Parity check codes;Fading;Floors;Turbo codes;Frequency division multiplexing;Code standards;Statistical distributions;Intersymbol interference;Convolutional codes","","7","","34","IEEE","16 May 2008","May 2008","","IEEE","IEEE Journals"
"Nonbinary LDPC Codes for 4-kB Sectors","W. Chang; J. R. Cruz","School of Electrical and Computer Engineering, University of Oklahama, Norman, OK, USA; School of Electrical and Computer Engineering, University of Oklahama, Norman, OK, USA",IEEE Transactions on Magnetics,"16 Dec 2008","2008","44","11","3781","3784","The performance of nonbinary LDPC codes on perpendicular magnetic recording channels (PMRCs) with 4-kB sectors is investigated. Each sector is encoded by either 4- or 0.5-kB-long codes. Both quasi-cyclic (QC) and nonquasi-cyclic (non-QC) nonbinary low-density parity-check (LDPC) codes are designed, and a set of simulations in a mixture of 10% additive white Gaussian noise (AWGN) and 90% position jitter noise power, with and without turbo equalization and with a rereading technique, is presented. The results show that sector-long codes perform better than 0.5-kB codes for all decoding schemes considered. In addition, the erasure correction capabilities of these nonbinary LDPC codes are calculated under both maximum-likelihood decoding and iterative decoding, and, as expected, longer codes can correct longer erasures. QC and non-QC nonbinary LDPC codes exhibit similar performance and have almost the same erasure correction capability under iterative decoding. Because of their efficient encoding, QC nonbinary LDPC codes are a good choice for perpendicular recording channels with 4-kB sectors, and offer a tradeoff between performance and code length.","1941-0069","","10.1109/TMAG.2008.2002368","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4717467","Iterative decoding;low-density parity-check (LDPC) codes;partial response channels;perpendicular magnetic recording","Parity check codes;Iterative decoding;Maximum likelihood decoding;Perpendicular magnetic recording;Additive white noise;AWGN;Jitter;Gaussian noise;Code standards;Magnetic noise","","19","1","9","IEEE","16 Dec 2008","Nov. 2008","","IEEE","IEEE Journals"
"Structured puncturing for rate-compatible B-LDPC codes with dual-diagonal parity structure","H. Y. Park; K. S. Kim; D. H. Kim; K. C. Whang","Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Department of Media Engineering, Seoul National University of Technology, Seoul, South Korea; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea",IEEE Transactions on Wireless Communications,"28 Oct 2008","2008","7","10","3692","3696","In this paper, we propose a generalized formula for generating puncturing patterns for block-type low-density parity check (B-LDPC) codes with dual-diagonal parity structure. The proposed formula distributes punctured bits uniformly in the zigzag edge connections, as well as maximizes the minimum recovery speed and the reliability of each punctured node. Also, the proposed puncturing can be applied to any B-LDPC code with dual-diagonal parity structure and can provide efficient bitwise puncturing patterns even when the number of puncturing bits is not equal to an integer multiple of the block size. Simulation results show that the proposed punctured B-LDPC codes are better than existing punctured B-LDPC codes and even dedicated B-LDPC codes used in commercial standards.","1558-2248","","10.1109/T-WC.2008.070409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4657312","Block-type LDPC code, rate-compatible code, hybrid ARQ","Parity check codes;Turbo codes;Forward error correction;Transmitters;Code standards;Automatic repeat request;Decoding;Sparse matrices;Solids;Redundancy","","13","7","10","IEEE","28 Oct 2008","October 2008","","IEEE","IEEE Journals"
"A New Burst Detection Scheme Using Parity Check Matrix of LDPC Code for Bit Flipping Burst-like Signal Degradation","Y. Nakamura; M. Nishimura; Y. Okamoto; H. Osawa; H. Muraoka","Graduate school of science and engineering, Ehime University, Matsuyama, Japan; Graduate school of science and engineering, Ehime University, Matsuyama, Japan; Graduate school of science and engineering, Ehime University, Matsuyama, Japan; Graduate school of science and engineering, Ehime University, Matsuyama, Japan; Research Institute of Electrical Communication (RIEC), University of Tohoku, Sendai, Japan",IEEE Transactions on Magnetics,"16 Dec 2008","2008","44","11","3773","3776","In this paper, a new burst detection method using the check matrix of low-density parity-check (LDPC) code is proposed. The burst detection for the bit flipping burst-like signal degradation which the conventional burst detection using a reproducing waveform, an equalizer output, an a posteriori probability (APP) decoder output and so on cannot detect is studied. The performance of the LDPC coding and iterative decoding system with the proposed burst detector is evaluated by computer simulation for a perpendicular magnetic recording channel with bit flipping burst-like signal degradation, and it is compared with that of the RS encoding and decoding system using the erasure correction. The results show that the LDPC coding and iterative decoding system with our burst detector shows the better performance and has the resistance to the bit flipping burst-like signal degradation of about 1500 bits.","1941-0069","","10.1109/TMAG.2008.2002424","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4717796","Burst detection;burst-like signal degradation;low-density parity-check (LDPC) code;perpendicular magnetic recording (PMR)","Parity check codes;Degradation;Iterative decoding;Detectors;Additive white noise;Gaussian noise;Signal to noise ratio;Perpendicular magnetic recording;Equalizers;Fluctuations","","8","","9","IEEE","16 Dec 2008","Nov. 2008","","IEEE","IEEE Journals"
"Layered Approx-Regular LDPC: Code Construction and Encoder/Decoder Design","H. Zhang; J. Zhu; H. Shi; D. Wang","Department of Electronic Engineering, Shanghai Jiaotong University, Shanghai, China; Department of Electronic Engineering, Shanghai Jiaotong University, Shanghai, China; R&D Department, Micronas Company, Shanghai, China; Department of Electronic Engineering, Shanghai Jiaotong University, Shanghai, China",IEEE Transactions on Circuits and Systems I: Regular Papers,"14 Mar 2008","2008","55","2","572","585","Layered approximately regular (LAR) low-density parity-check (LDPC) codes are proposed, with which one single pair of encoder and decoder support various code lengths and code rates. The parity check matrices of LAR-LDPC codes have a ""layer-block-cell"" structure with some additional constraints. An encoder architecture is then designed for LAR-LDPC codes, by making two improvements to the Richardson-Urbanke approach: the forward substitution operation is entirely removed and the dense-matrix-vector multiplication is handled using feedback shift-registers. A partially parallel decoder architecture is also designed for LAR-LDPC codes, where a layered modified min-sum decoding algorithm is used to trade off among complexity, speed, and performance. More importantly, the interconnection network, which is inevitable for partially parallel decoders, has much lower hardware complexity compared with that for general LDPC codes. Both the encoder and decoder architectures are highly flexible in code length and code rate.","1558-0806","","10.1109/TCSI.2008.916433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4432803","Code construction;encoder;decoder;hardware architecture;low-density parity check (LDPC);Low-density parity-check (LDPC);code construction;encoder;decoder;hardware architecture","Parity check codes;Hardware;Sparse matrices;Iterative decoding;Iterative algorithms;Throughput;Costs;Research and development;Encoding;Parallel architectures","","22","1","33","IEEE","14 Mar 2008","March 2008","","IEEE","IEEE Journals"
"Block-Interlaced LDPC Decoders With Reduced Interconnect Complexity","A. Darabiha; A. C. Carusone; F. R. Kschischang","Edward S. Rogers Sr. Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada; Edward S. Rogers Sr. Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada; Edward S. Rogers Sr. Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada",IEEE Transactions on Circuits and Systems II: Express Briefs,"16 Jan 2008","2008","55","1","74","78","Two design techniques are proposed for high-throughput low-density parity-check (LDPC) decoders. A broadcasting technique mitigates routing congestion by reducing the total global wirelength. An interlacing technique increases the decoder throughput by processing two consecutive frames simultaneously. The brief discusses how these techniques can be used for both fully parallel and partially parallel LDPC decoders. For fully parallel decoders with code lengths in the range of a few thousand bits, the half-broadcasting technique reduces the total global wirelength by about 26% without any hardware overhead. The block interlacing scheme is applied to the design of two fully parallel decoders, increasing the throughput by 60% and 71% at the cost of 5.5% and 9.5% gate count overhead, respectively.","1558-3791","","10.1109/TCSII.2007.905328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4389924","10-GB Ethernet;channel coding;decoder architectures;iterative message-passing;low-density parity-check (LDPC) codes;very-large-scale integration (VLSI)","Parity check codes;Iterative decoding;Throughput;Hardware;Very large scale integration;Bit error rate;Parallel architectures;Memory management;Broadcasting;Routing","","53","1","18","IEEE","16 Jan 2008","Jan. 2008","","IEEE","IEEE Journals"
"Proposal to Achieve 1 Tb/s per Wavelength Transmission Using Three-Dimensional LDPC-Coded Modulation","H. G. Batshon; I. B. Djordjevic; L. L. Minkov; L. Xu; T. Wang; M. Cvijetic","Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA; Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA; Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA; NEC Laboratories of America, Inc., Princeton, NJ, USA; NEC Laboratories of America, Inc., Princeton, NJ, USA; NEC Corporation of America, Herndon, VA, USA",IEEE Photonics Technology Letters,"4 Apr 2008","2008","20","9","721","723"," We propose a three-dimensional (3-D) low-density parity check (LDPC)-coded modulation scheme that enables optical transmission beyond 320 Gb/s in aggregate rate using currently available commercial components operating at 40 giga-symbols/s . The proposed scheme introduces significant performance improvement of up to 4.1 dB at a bit-error ratio of $10^{-9}$  over the corresponding two-dimensional scheme. In addition, by using LDPC-coded 1024-3D-constellation it is possible, at least in theory, to achieve beyond a total of 1-Tb/s transmission using transmission equipment operating at 100 giga-symbols/s, once it reaches the maturity of 40-Gb/s systems. ","1941-0174","","10.1109/LPT.2008.920024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4481167","Coherent detection;high-speed optical transmission;low-density parity-check (LDPC) codes;100G Ethernet;optical communications;three-dimensional (3-D) coded modulation (CM)","Proposals;Parity check codes;Optical transmitters;Constellation diagram;Optical receivers;Ethernet networks;High speed optical techniques;Optical modulation;Aggregates;National electric code","","12","1","9","IEEE","4 Apr 2008","May1, 2008","","IEEE","IEEE Journals"
"Design of Inner LDPC Codes for Magnetic Recording Channels","W. Tan","LSI Corporation, Longmont, CO, USA",IEEE Transactions on Magnetics,"18 Dec 2007","2008","44","1","217","222","Inner low-density parity-check (LDPC) codes are designed for practical use in magnetic recording read channel with traditional outer Reed-Solomon (RS) codes. These codes are based on single-parity codes and therefore have low encoding and decoding complexity. Simulation results show that these LDPC codes are promising inner codes for both 512 and 4 k byte sectors.","1941-0069","","10.1109/TMAG.2007.912833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4407612","Iterative decoding;lattice;LDPC codes;magnetic recording;outer codes;read channel","Parity check codes;Magnetic recording;Decoding;Design methodology;Hardware;Large scale integration;Lattices;Reed-Solomon codes;Costs;Perpendicular magnetic recording","","8","1","8","IEEE","18 Dec 2007","Jan. 2008","","IEEE","IEEE Journals"
"Robust LDPC decoding using irregular decoders","R. Yazdani; M. Ardakani","Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada",IEEE Communications Letters,"22 Dec 2008","2008","12","12","888","890","It has been observed that irregular decoders for low density parity-check (LDPC) codes can be more robust to channel estimation errors compared to conventional decoders. In this work, by presenting a robustness measure, we propose a method for the joint optimization of irregular LDPC code-decoder pairs to have the widest convergence region when channel estimation errors exist.","1558-2558","","10.1109/LCOMM.2008.080977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4720241","Low-density parity-check (LDPC) codes, irregular decoders, channel estimation errors, min-sum, sum-product","Parity check codes;Iterative decoding;Channel estimation;Iterative algorithms;Approximation algorithms;Additive noise;Optimization methods;Convergence;Noise robustness;Additive white noise","","","","10","IEEE","22 Dec 2008","December 2008","","IEEE","IEEE Journals"
