"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On the Tanner Graph Cycle Distribution of Random LDPC, Random Protograph-Based LDPC, and Random Quasi-Cyclic LDPC Code Ensembles","A. Dehghan; A. H. Banihashemi","Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada",IEEE Transactions on Information Theory,"18 May 2018","2018","64","6","4438","4451","In this paper, we study the cycle distribution of random low-density parity-check (LDPC) codes, randomly constructed protograph-based LDPC codes, and random quasicyclic (QC) LDPC codes. We prove that for a random bipartite graph, with a given (irregular) degree distribution, the distributions of cycles of different length tend to independent Poisson distributions, as the size of the graph tends to infinity. We derive asymptotic upper and lower bounds on the expected values of the Poisson distributions that are independent of the size of the graph, and only depend on the degree distribution and the cycle length. For a random lift of a bi-regular protograph, we prove that the asymptotic cycle distributions are essentially the same as those of random bipartite graphs as long as the degree distributions are identical. For random QC-LDPC codes, however, we show that the cycle distribution can be quite different from the other two categories. In particular, depending on the protograph and the value of c, the expected number of cycles of length c, in this case, can be either 8(N) or 8(1), where N is the lifting degree (code length). We also provide numerical results that match our theoretical derivations. Our results provide a theoretical foundation for emperical results that were reported in the literature but were not well-justified. They can also be used for the analysis and design of LDPC codes and associated algorithms that are based on cycles.","1557-9654","","10.1109/TIT.2018.2805906","NSERC Discovery(grant numbers:217239-2013-RGPIN); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291725","Low-density parity-check (LDPC) codes;random LDPC codes;quasi cyclic (QC) LDPC codes;protograph-based LDPC codes;cycle distribution of LDPC codes;lifting;cyclic lifting;short cycles;cycle multiplicity;girth","Parity check codes;Bipartite graph;Symmetric matrices;Algorithm design and analysis;Complexity theory;Random variables;Indexes","","50","","34","IEEE","14 Feb 2018","June 2018","","IEEE","IEEE Journals"
"Symmetrical Constructions for Regular Girth-8 QC-LDPC Codes","A. Tasdighi; A. H. Banihashemi; M. -R. Sadeghi","Department of Mathematics and Computer Science, Amirkabir University of Technology, Tehran, Iran; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Mathematics and Computer Science, Amirkabir University of Technology, Tehran, Iran",IEEE Transactions on Communications,"16 Jan 2017","2017","65","1","14","22","In this paper, we propose new constructions for regular girth-8 quasi-cyclic low-density parity-check (QC-LDPC) codes based on circulant permutation matrices (CPM). The constructions assume symmetries in the structure of the parity-check matrix and employ a greedy exhaustive search algorithm to find the permutation shifts of the CPMs. As a result of symmetries, the new codes have a more compact representation compared with their counterparts. In majority of cases, also, they achieve the girth 8 at a shorter block length for the same degree distribution (code rate). Deterministic (explicit) constructions are also presented to expand the proposed parity-check matrices to larger block lengths and higher rates. The proposed long high-rate codes are often substantially shorter than regular girth-8 QC-LDPC codes of similar rate in the literature. Simulation results demonstrate that the proposed symmetric codes have competitive performance in comparison with similar existing QC-LDPC codes that lack symmetry.","1558-0857","","10.1109/TCOMM.2016.2617335","Huawei Technologies Co., Ltd; Natural Sciences and Engineering Research Council of Canada (NSERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7590040","QC-LDPC codes;regular LDPC codes;QC-LDPC code construction;protograph-based LDPC codes;girth;QC-LDPC codes of girth 8;symmetrical QC-LDPC codes","Parity check codes;Symmetric matrices;Linear matrix inequalities;Complexity theory;Additives;Simulation;Indexes","","45","","21","IEEE","13 Oct 2016","Jan. 2017","","IEEE","IEEE Journals"
"Iterative LDPC–LDPC Product Code for Bit Patterned Media","S. Jeong; J. Lee","School of Electronic Engineering, Soongsil University, Seoul, South Korea; School of Electronic Engineering, Soongsil University, Seoul, South Korea",IEEE Transactions on Magnetics,"16 Feb 2017","2017","53","3","1","4","Bit patterned media aims at high density recording of more than 10 Tb per square inch, but a burst error mostly occurred by media defects, and data write failure can be a serious problem. However, if the burst errors are compensated by erasure decoding, the performance of low-density parity check (LDPC) code, which is a strong candidate for the error correcting code for storage systems, can be improved. In this paper, we propose an iterative LDPC-LDPC product code and show that it performs better than a simple LDPC-LDPC product code when there are only random errors and both random and burst errors.","1941-0069","","10.1109/TMAG.2016.2618008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7592444","Bit patterned media (BPM);burst error;low-density parity check (LDPC) code;product code","Product codes;Decoding;Bit error rate;Signal to noise ratio;Iterative decoding;Tunneling magnetoresistance","","1","","18","IEEE","18 Oct 2016","March 2017","","IEEE","IEEE Journals"
"A Detector-Aware LDPC Code Optimization for Ultra-High Density Magnetic Recording Channels","L. Kong; K. Cai; P. Chen; B. Fan","Center for Memory and Recording Research, University of California at San Diego, La Jolla, CA, USA; Department of Science, Singapore University of Technology and Design, Singapore; College of Physics and Information Engineering, Fuzhou University, Fuzhou, China; Center for Memory and Recording Research, University of California at San Diego, La Jolla, CA, USA",IEEE Transactions on Magnetics,"24 Oct 2017","2017","53","11","1","4","In this paper, a detector-aware low-density parity-check (LDPC) code optimization algorithm is proposed for the ultra-high density magnetic recording channel, such as bit-patterned magnetic recording and two-dimensional magnetic recording, where a 2-D detector (2D-DET) is employed to combat 2-D intersymbol interference (2D-ISI) effects, by acquiring the variance of the 2D-ISI channel log-likelihood ratios corresponding to the specific 2D-DET. The new parameter builds a bridge of LDPC code optimization between the ISI-channel and the additive white Gaussian noise channel. Numerical results show that our proposed algorithms are more efficient in running time than other recently proposed optimization algorithms. Moreover, the protograph-based quasi-cyclic (QC) codes using the proposed optimization strategy, which have a low-complexity QC encoder structure with an effectual parallelizable protograph decoder composition, enjoy up to one order of magnitude performance gain in bit error rate over the other random codes that suffer from high error floors.","1941-0069","","10.1109/TMAG.2017.2700819","Singapore AStar Public Sector Research Funding PSF; China NSF for Young Scientists(grant numbers:Grant No. 61501250,61401099); SUTD-MIT IDC research grant; the Natural Science Foundation for Young Scientists of Jiangsu Province(grant numbers:Grant No. BK20140879); Natural Science Foundation of the Jiangsu Higher Education Institutions(grant numbers:Grant No. 14KJB510021); SRF for ROCS SEM.; NUPTSF(grant numbers:Grant No. NY214015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919248","2-D intersymbol interference (ISI) channels;low-density parity-check (LDPC) codes;protograph LDPC codes;quasi-cyclic (QC) LDPC codes","Parity check codes;Optimization;Two dimensional displays;Magnetic recording;Decoding;Computational complexity;Detectors","","8","","15","IEEE","4 May 2017","Nov. 2017","","IEEE","IEEE Journals"
"Efficient Search of Compact QC-LDPC and SC-LDPC Convolutional Codes With Large Girth","M. H. Tadayon; A. Tasdighi; M. Battaglioni; M. Baldi; F. Chiaraluce","Iran Telecommunication Research Center, Tehran, Iran; Department of Mathematics and Computer Science, Amirkabir University of Technology, Tehran, Iran; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy",IEEE Communications Letters,"8 Jun 2018","2018","22","6","1156","1159","We propose a low-complexity method to find quasi-cyclic low-density parity-check block codes with girth 10 or 12 and length shorter than those designed through classical approaches. The method is extended to time-invariant spatially coupled low-density parity-check convolutional codes, permitting to achieve small syndrome former constraint lengths. Several numerical examples are given to show its effectiveness.","1558-2558","","10.1109/LCOMM.2018.2827959","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8339512","Code design;girth;QC-LDPC block codes;spatially coupled LDPC convolutional codes;time-invariant codes","Block codes;Convolutional codes;Microsoft Windows;Complexity theory;Iterative decoding;Decoding;Manganese","","36","","13","IEEE","17 Apr 2018","June 2018","","IEEE","IEEE Journals"
"Anti Quasi-Cyclic LDPC Codes","Z. Gholami; M. Gholami","Department of Mathematics, Shahrekord University, Shahrekord, Iran; School of Computer Sciences, Institute for Research in Fundamental Sciences (IPM), Tehran, Iran",IEEE Communications Letters,"8 Jun 2018","2018","22","6","1116","1119","Low-density parity-check (LDPC) codes based on affine permutation matrices, APM-LDPC codes, have been attracted recently, because of some advantages rather than QC-LDPC codes in minimum-distance, cycle distribution and error-rate performance. In this letter, circulant and anti-circulant permutation matrices are used to define a class of LDPC codes, called AQC-LDPC codes, which can be considered as an special case of APM-LDPC codes. In fact, each AQC-LDPC code can be verified by a sign matrix and a slope matrix which are helpful to show each cycle in the Tanner graph by a modular linear equation. For the normal sign matrix A , if -1 ϵ, A, it is shown that the corresponding AQC-LDPC code has maximum-girth 8. Finally, two explicit constructions for AQC-LDPC codes with girths 6, 8 are presented which have some benefits rather than the explicitly constructed QC and APM LDPC codes in minimum-distance, cycle distributions and bit-error-rate performances.","1558-2558","","10.1109/LCOMM.2018.2819186","Research Council of Shahrekord University; IPM(grant numbers:CS1397-4-74); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325286","QC-LDPC codes;explicit constructions;girth","Matrix converters;Iterative decoding;Broadband communication;Decoding;Mathematics;Production","","4","","11","IEEE","26 Mar 2018","June 2018","","IEEE","IEEE Journals"
"Explicit APM-LDPC Codes With Girths 6, 8, and 10","M. Gholami; M. Alinia","Department of Mathematical Sciences, Shahrekord University, Shahrekord, Iran; Department of Mathematics, Shahrekord University, Shahrekord, Iran",IEEE Signal Processing Letters,"18 Apr 2017","2017","24","6","741","745","Recently, some attentions have been focused on a class of low-density parity-check codes from affine permutation matrices, called APM-LDPC codes, which have some advantages rather than quasi-cyclic low-density parity-check (QC-LDPC) codes in the minimum-distance, cycle distribution and error-rate performance. In this letter, first, some novel explicit constructions for exponent matrices of conventional APM-LDPC codes with girths 6, 8, and 10 are investigated, and for each given exponent matrix E corresponding to an APM-LDPC code with girth 2g , 3 ≤ g ≤ 5, a lower bound Q = Q(E,g) is obtained, such that APM-LDPC codes with exponent matrix E have girth at least 2g, for each (prime) APM size m ≥ Q. Then, regarding to reduce the lower bound, an improved bound IQ is obtained, which is significantly better than some lower bounds reported for QC-LDPC codes with explicit constructions. Simulation results show that the constructed APM-LDPC codes outperform QC-LDPC codes with the same girth.","1558-2361","","10.1109/LSP.2017.2688410","Research Council of Shahrekord University(grant numbers:94GRD1M584); Institute for Research in Fundamental Sciences(grant numbers:95050065); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7888536","Explicit constructions;girth;low-density parity-check codes from affine permutation matrices (APM-LDPC codes)","Parity check codes;Simulation;Decoding;Mathematics;Linear codes;Computers;Hardware","","8","","22","IEEE","28 Mar 2017","June 2017","","IEEE","IEEE Journals"
"Construction of QC-LDPC Codes Based on Pre-Masking and Local Optimal Searching","D. Wang; L. Wang; X. Chen; A. Fei; C. Ju; Z. Wang","State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China; Pre-Research and Standard Department, Wireline Research and Development Institute, Beijing, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China",IEEE Communications Letters,"8 Jun 2018","2018","22","6","1148","1151","In this letter, we consider the construction of quasi-cyclic (QC) low-density parity-check (LDPC) codes by jointly optimizing the girth g and the number of g-cycles. We first propose a sub-array detection method to accelerate the detection of cycles, and by detecting the non-repeated automatic enumerative cycles in the frame of sub-arrays, cycle detection time can be greatly reduced. Furthermore, a local optimal searching algorithm combined with pre-masking is presented, by orderly searching the local optimal p j,l for each circulant permutation matrix (CPM), a class of QC-LDPC codes with possibly enlarged g, less number of g-cycles, and arbitrary attainable degree distribution could be constructed. Simulation results show that the codes constructed by the proposed method perform well in error floor region.","1558-2558","","10.1109/LCOMM.2017.2756640","NSFC(grant numbers:61571061); ZTE’s Industry, University and Research Cooperation Forum Foundation(grant numbers:PJ150831119132); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8049482","LDPC codes;quasi-cyclic (QC) LDPC codes;cycle detection;girth;masking","Parity check codes;Simulation;Algorithm design and analysis;Complexity theory;Acceleration;Null space;Indexes","","7","","17","IEEE","25 Sep 2017","June 2018","","IEEE","IEEE Journals"
"Analytical Lower Bound on the Lifting Degree of Multiple-Edge QC-LDPC Codes With Girth 6","M. -R. Sadeghi; F. Amirzade","Department of Mathematics and Computer Science, Amirkabir University of Technology, Tehran, Iran; Department of Mathematics and Computer Science, Amirkabir University of Technology, Tehran, Iran",IEEE Communications Letters,"10 Aug 2018","2018","22","8","1528","1531","Multiple-edge protographs have some advantages over single-edge protographs, such as potentially having larger minimum Hamming distance. However, most of results in the literature are related to the construction of single-edge quasi-cyclic low-density parity-check codes (QC-LDPC) codes and little research has been done for the construction of multiple-edge QC-LDPC codes. In this letter, for the first time, necessary and sufficient conditions for the exponent matrices to have multiple-edge QC-LDPC codes with girth 6 are provided. As a consequence of this letter, a lower bound on the lifting degree of regular and irregular multiple-edge QC-LDPC codes with girth 6 is derived. We also present QC-LDPC codes whose lifting degrees meet our proposed lower bound. These codes have shorter lengths compared with single-edge QC-LDPC codes. Another contribution of this letter is presenting a technique to reduce the size of the search space to find these codes.","1558-2558","","10.1109/LCOMM.2018.2841873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368304","Multiple-edge QC-LDPC codes;protographs;girth;difference matrices;lifting degree","Parity check codes;Matrices;Linear matrix inequalities;Hamming distance;Indexes;Computer science","","21","","8","IEEE","29 May 2018","Aug. 2018","","IEEE","IEEE Journals"
"Reduced Complexity Window Decoding of Spatially Coupled LDPC Codes for Magnetic Recording Systems","S. Khittiwitchayakul; W. Phakphisut; P. Supnithi","Faculty of Engineering, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand; Faculty of Engineering, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand; Faculty of Engineering, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand",IEEE Transactions on Magnetics,"17 Oct 2018","2018","54","11","1","5","Spatially coupled low-density parity-check (SC-LDPC) codes have emerged to possess capacity-approaching performance. The SC-LDPC codes can be decoded by a sliding window, therefore, the decoding latency and complexity of SC-LDPC codes are lower than those of underlying LDPC codes when the codeword length is very large. In this paper, the SC-LDPC decoder with the sliding window is employed in turbo equalization of magnetic recording systems. We examine the bit error rates (BERs) of the output of the sliding window during the iterative decoding, and then observe that the consecutive code blocks have approximately the same BERs. Herein, to reduce decoding complexity of SC-LDPC codes, the consecutive code blocks can be considered as the output of SC-LDPC codes. In addition, the non-uniform schedule update is adopted in the window decoding to avoid unnecessary updates within a window. The simulation results show that the proposed decoding algorithms applied in bit-patterned media magnetic recording systems can achieve a significant reduction in complexity compared to the traditional decoding without any loss in BER performance.","1941-0069","","10.1109/TMAG.2018.2832252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401538","Low-density parity-check (LDPC) code;non-uniform schedules;spatially coupled codes;turbo equalization;window decoding","Decoding;Iterative decoding;Complexity theory;Microsoft Windows;Schedules;Magnetic recording","","10","","14","IEEE","2 Jul 2018","Nov. 2018","","IEEE","IEEE Journals"
