"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Iterative decoding of generalized low-density parity-check codes","M. Lentmaier; K. S. Zigangirov","Department of Information Technology, Lund University, Lund, Sweden; Department of Information Technology, Lund University, Lund, Sweden",Proceedings. 1998 IEEE International Symposium on Information Theory (Cat. No.98CH36252),"6 Aug 2002","1998","","","149","","A generalization of Gallager's low-density parity-check codes is introduced, where as component codes single-error correcting Hamming codes are used instead of single-error detecting parity-check codes. Low-density (LD) parity-check codes were first introduced by Gallager in 1963. These codes are, in combination with iterative decoding, very promising for achieving low error probabilities at a reasonable cost. Results of computer simulations for long LD codes show, that a performance close to the Shannon capacity limit can be achieved. In this work, we consider a generalized version of low-density parity-check codes, where the decoding procedure can be based on the decoding of Hamming component codes.","","0-7803-5000-6","10.1109/ISIT.1998.708742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=708742","","Iterative decoding;Parity check codes;Information technology;Statistics;Error probability;Costs;H infinity control;Iterative algorithms;AWGN channels;Neural networks","","29","2","3","IEEE","6 Aug 2002","16-21 Aug. 1998","16-21 Aug. 1998","IEEE","IEEE Conferences"
"Improved low-density parity-check codes using irregular graphs and belief propagation","M. G. Luby; M. Amin Shokrolloahi; M. Mizenmacher; D. A. Spielman","Science Institute, International Computer Science Institute, Berkeley, CA, USA; NA; NA; Department of Mathematics, M.I.T., Cambridge, MA, USA",Proceedings. 1998 IEEE International Symposium on Information Theory (Cat. No.98CH36252),"6 Aug 2002","1998","","","117","","We construct new families of low-density parity-check codes, which we call irregular codes. When decoded using belief propagation, our codes can correct more errors than previously known low-density codes. Our improved performance comes from using codes based on irregular random bipartite graphs, based on the work of Luby et al. (1997). Previously studied low-density codes have been derived from regular bipartite graphs. Initial experimental results for our irregular codes suggest that, with improvements, irregular codes may be able to match turbo code performance.","","0-7803-5000-6","10.1109/ISIT.1998.708706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=708706","","Parity check codes;Belief propagation;Digital systems;Computer errors;Bipartite graph;Turbo codes;Decoding;Terminology;Error correction;Computer science","","72","41","2","IEEE","6 Aug 2002","16-21 Aug. 1998","16-21 Aug. 1998","IEEE","IEEE Conferences"
"Low density parity check codes over GF(q)","M. C. Davey; D. J. C. MacKay","Cavendish Laboratory, Cambridge, UK; Cavendish Laboratory, Cambridge, UK",1998 Information Theory Workshop (Cat. No.98EX131),"6 Aug 2002","1998","","","70","71","Binary low density parity check (LDPC) codes have been shown to have near Shannon limit performance when decoded using a probabilistic decoding algorithm. The analogous codes defined over finite fields GF(q) of order q>2 show significantly improved performance. We present the results of Monte Carlo simulations of the decoding of infinite LDPC codes which can be used to obtain good constructions for finite codes. We also present empirical results for the Gaussian channel including a rate 1/4 code with bit error probability of 10/sup -4/ at E/sub b//N/sub 0/=-0.05 dB.","","0-7803-4408-1","10.1109/ITW.1998.706440","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706440","","Parity check codes;Belief propagation;Galois fields;Iterative decoding;Laboratories;Gaussian channels;Error probability;Error correction codes;Sparse matrices;Symmetric matrices","","141","6","9","IEEE","6 Aug 2002","22-26 June 1998","22-26 June 1998","IEEE","IEEE Conferences"
"Constructing low-density parity-check codes with circulant matrices","J. W. Bond; S. Hui; H. Schmidt","Science Applications International Corporation, San Diego, CA, USA; Department of Mathematics, San Diego State University, San Diego, CA, USA; Technology Service Corporation, Silver Spring, MD, USA",1999 Information Theory and Networking Workshop (Cat. No.99EX371),"6 Aug 2002","1999","","","52","","This is a report on the authors' ongoing effort to implement low-density parity-check codes with iterative belief propagation decoding in a communication system. The system requires the codes to have block lengths from 1000 to 2000 bits. We describe two different methods of constructing the codes using: (1) a combination of random and circulant matrices, and (2) random and circulant matrices with constraints to control the number of low weight codewords. We illustrate the performances of the different constructions with simulations.","","0-7803-5954-2","10.1109/ITNW.1999.814359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=814359","","Parity check codes;Bonding;Sparse matrices;Error analysis;Mathematics;Silver;Springs;Belief propagation;Iterative decoding;Automatic control","","1","12","6","IEEE","6 Aug 2002","27 June-1 July 1999","27 June-1 July 1999","IEEE","IEEE Conferences"
"Iterative decoding of multi-dimensional concatenated single parity check codes","Li Ping; S. Chan; K. L. Yeung","Department of Electronics Engineering, City University of Hong Kong, Hong Kong, China; Department of Electronics Engineering, City University of Hong Kong, Hong Kong, China; Department of Electronics Engineering, City University of Hong Kong, Hong Kong, China",ICC '98. 1998 IEEE International Conference on Communications. Conference Record. Affiliated with SUPERCOMM'98 (Cat. No.98CH36220),"6 Aug 2002","1998","1","","131","135 vol.1","This paper is concerned with the decoding technique and performance of multi-dimensional concatenated single-parity-check (SPC) code. A very efficient sub-optimal soft-in-soft-out decoding rule is presented for the SPC code, costing only 3 addition-equivalent-operations per information bit. Multi-dimensional concatenated coding and decoding principles are investigated. Simulation results of rate 5/6 and 4/5 3-dimensional concatenated SPC codes are provided. Performance of BER=10/sup -4/-10/sup -5/ can be achieved by the MAP and max-log-MAP decoders, respectively, with E/sub b//N/sub 0/ only 1 and 1.5 dB away from the theoretical limits.","","0-7803-4788-9","10.1109/ICC.1998.682600","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=682600","","Iterative decoding;Concatenated codes;Parity check codes;Iterative algorithms;Costs;Block codes;Costing;Convolutional codes;Multidimensional systems;Convergence","","47","5","14","IEEE","6 Aug 2002","7-11 June 1998","7-11 June 1998","IEEE","IEEE Conferences"
"Periodic time-varying convolutional codes with low-density parity-check matrices","A. Jimenez; K. S. Zigangirov","Research-Technology Development, Ericsson Mobile Communications AB, Lund, Sweden; Department of Information Technology, Lund University, Lund, Sweden",Proceedings. 1998 IEEE International Symposium on Information Theory (Cat. No.98CH36252),"6 Aug 2002","1998","","","305","","We present a class of convolutional codes defined by a low-density parity-check matrix, and an iterative algorithm for the decoding of these codes. The performance of this decoding is close to the performance of turbo-decoding.","","0-7803-5000-6","10.1109/ISIT.1998.708910","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=708910","","Convolutional codes;Parity check codes;Iterative decoding;Iterative algorithms;Error probability;Bit error rate;Computational modeling;Block codes;Mobile communication;Sparse matrices","","23","","5","IEEE","6 Aug 2002","16-21 Aug. 1998","16-21 Aug. 1998","IEEE","IEEE Conferences"
"Gallager codes for CDMA applications: generalizations, constructions and performance","V. Sorokine; F. R. Kschischang; S. Pasupathy","QUALCOMM, Inc., San Diego, CA, USA; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada",1998 Information Theory Workshop (Cat. No.98EX131),"6 Aug 2002","1998","","","8","9","We focus on applications of low rate (low-density parity-check) Gallager (1963) codes in code-division multiple access (CDMA) schemes. These codes can be decoded with low complexity by using iterative decoding procedures. We present a construction that yields good, short frame length, low rate Gallager codes. We estimate that by using Gallager codes, a factor of five improvement in CDMA cell capacity relative to an uncoded system can be achieved, equivalent to a factor of two improvement relative to state-of-the art orthogonal convolutional codes. Simulation results show that, compared with short frame length turbo codes, Gallager codes achieve a 0.5 dB improvement in AWGN channels and over 2 dB improvement in fading channels in the signal-to-noise ratio required to achieve frame error rates of 10/sup -3/.","","0-7803-4408-1","10.1109/ITW.1998.706373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706373","","Multiaccess communication;Iterative decoding;Parity check codes;State estimation;Art;Convolutional codes;Turbo codes;AWGN channels;Fading;Signal to noise ratio","","","","6","IEEE","6 Aug 2002","22-26 June 1998","22-26 June 1998","IEEE","IEEE Conferences"
"Innovative coding scheme for spread-spectrum communications","V. Sorokine; F. R. Kschischang; S. Pasupathy","Qualcomm, Inc., San Diego, CA, USA; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada","Ninth IEEE International Symposium on Personal, Indoor and Mobile Radio Communications (Cat. No.98TH8361)","6 Aug 2002","1998","3","","1491","1495 vol.3","It is known that spread-spectrum (SS) communications in general, and code-division multiple access (CDMA) in particular, gain certain advantages in performance, if powerful low-rate error-correcting codes are used for error-protection in such systems. We propose an innovative coding scheme for SS systems based on Gallager (low-density parity-check) codes that can be iteratively decoded with relatively low complexity. Consequently, this scheme is readily implementable in both base station and subscriber side receivers. We focus our attention on Gallager codes with parameters compatible with the IS-95 cellular radio standard. We discuss soft- and hardware implementations of iterative decoding for Gallager codes. We estimate that by using Gallager codes, a factor of five improvement in CDMA cell capacity relative to the uncoded system can be achieved, equivalent to a factor of two improvement relative to the state-of-the art orthogonal convolutional codes.","","0-7803-4872-9","10.1109/PIMRC.1998.731445","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=731445","","Spread spectrum communication;Multiaccess communication;Iterative decoding;Performance gain;Error correction codes;Parity check codes;Base stations;Receivers;Land mobile radio cellular systems;Code standards","","","28","14","IEEE","6 Aug 2002","8-11 Sept. 1998","8-11 Sept. 1998","IEEE","IEEE Conferences"
"High-dimensional symmetric interleaved parity check code-general high-dimensional ring code","S. Takeda; K. Hashimoto; M. Hata","Department Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan; Department Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan; Department Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan",[Proceedings] Singapore ICCS/ISITA `92,"6 Aug 2002","1992","","","852","856 vol.2","A new n-dimensional symmetric parity check code, named the ring code, is proposed. The code is constituted by means of the product space of cyclic-shifted versions of one-dimensional parity check codes, which shows crystalline structural symmetries. The ring code which is based on a two-dimensional ring code has a symmetrical structure. An n-dimensional ring code can easily be formed with (n-l)-dimensional ring codes. The reason why the authors propose this code is the high capacity of correcting burst errors, random errors and multi-burst errors for high-dimensional case. They propose the formation of a general n-dimensional symmetric ring code and show the features and performance of the high-dimensional ring code.<>","","0-7803-0803-4","10.1109/ICCS.1992.255142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=255142","","Parity check codes;Error correction codes;Interleaved codes;Bit error rate;Space technology;Computer errors;Crystallization;Computer simulation;Decoding;Convolution","","","","5","IEEE","6 Aug 2002","16-20 Nov. 1992","16-20 Nov. 1992","IEEE","IEEE Conferences"
"A low complexity FEC scheme based on the intersection of interleaved block codes","O. Pothier; L. Brunel; J. Boutros","Laboratoires d''Electronique Philips, Limeil Brevannes, France; Communications & Electronics Department, Ecole Nationale Supérieure des TéIécommunications, Paris, France; Communications & Electronics Department, Ecole Nationale Supérieure des TéIécommunications, Paris, France",1999 IEEE 49th Vehicular Technology Conference (Cat. No.99CH36363),"6 Aug 2002","1999","1","","274","278 vol.1","We describe a class of asymptotically good codes built from the intersection of randomly permuted binary BCH codes. This family of pseudo-random error correcting codes, called generalized low density (GLD) codes, is a direct generalization of Gallager's low density parity check (LDPC) codes. GLD codes belong to the larger family of Tanner codes based on a random bipartite graph. We study the GLD ensemble performance and prove the asymptotically good property. We also compare GLD codes minimum distance and performance to the Varshamov-Gilbert bound and BSC capacity respectively. The results show that maximum-likelihood decoding of GLD codes achieves near capacity efficiency. The suboptimal iterative decoding of GLD codes is briefly presented. Experimental results of small and large blocklength codes are finally illustrated on both AWGN and Rayleigh fading channels.","1090-3038","0-7803-5565-2","10.1109/VETEC.1999.778060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=778060","","Block codes;Parity check codes;Iterative decoding;Maximum likelihood decoding;Bipartite graph;Error correction codes;AWGN;Concatenated codes;Iterative algorithms;Sparse matrices","","12","2","6","IEEE","6 Aug 2002","16-20 May 1999","16-20 May 1999","IEEE","IEEE Conferences"
