"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Low complexity iterative decoding algorithm for low-density parity-check (LDPC) codes","H. R. Zeidan; M. M. Elsabrouty","Department of Electronics and Electrical Communications, Faculty of Engineering, Arab Academy for Science, Technology and Maritime Transport, Cairo, Egypt; Department of Electronics and Electrical Communications, Faculty of Engineering, Arab Academy for Science, Technology and Maritime Transport, Cairo, Egypt",2008 1st IFIP Wireless Days,"10 Apr 2009","2008","","","1","5","The reliability ratio weighted based bit-flipping (RRWBF) algorithm for decoding low-density parity-check (LDPC) codes has recently been developed to provide the best performance among all existing bit-flipping based algorithms. The implementation efficient reliability ratio weighted based bit-flipping (IERRWBF) algorithm speedup the original algorithm to decrease the processing time used. A drawback for this algorithm is the decrease in the improvement as the maximum number of iterations assigned for the algorithm increase as a large percentage of decoding time is spent on the iteration part without any change in the performance. In this paper, a modified version for this algorithm is proposed to solve this drawback by reducing the number of iterations required to achieve the same performance of the existing IERRWBF algorithm using efficient number of iterations instead of using the maximum number of iterations for decoding without any change in the performance of the IERRWBF.","2156-9711","978-1-4244-2828-1","10.1109/WD.2008.4812877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4812877","bit-flipping algorithm;decoding complexity;error sum;low-density parity-check (LDPC) codes;implementation efficient reliability ratio weighted bit-flipping (IERRWBF) algorithm","Parity check codes;Iterative decoding;Iterative algorithms;Sum product algorithm;Error correction;Reliability engineering;Transportation;Computational complexity;Information theory;Turbo codes","","6","","12","IEEE","10 Apr 2009","24-27 Nov. 2008","24-27 Nov. 2008","IEEE","IEEE Conferences"
"LDPC coded OFDM modulation for high spectral efficiency transmission","Chih-Yuan Yang; Mong-Kai Ku","Department of Computer Science and Information Engineering, National Taiwan University, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taiwan",2008 4th European Conference on Circuits and Systems for Communications,"3 Sep 2008","2008","","","280","284","This paper investigates efficient low-density parity-check (LDPC) coded orthogonal frequency division multiplexing (OFDM) modulation schemes for fixed wireless application. We use partially LDPC coded with double gray code labeling technique and Reed-Solomon code with LDPC Coded Modulation (RS-LCM) to achieve better performance than the conventional LDPC bit-interleaved coded modulation (BICM) scheme. RS-LCM scheme outperforms BICM scheme by 0.4 dB at a BER of 10−5.","","978-1-4244-2419-1","10.1109/ECCSC.2008.4611693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4611693","Low-density parity-check (LDPC) code;orthogonal frequency division multiplexing (OFDM);coded modulation;LDPC coded modulation (LCM);RS-LCM;bit-interleaved coded modulation (BICM)","Parity check codes;Codes;Modulation;Symbols;Spectral efficiency;Floors;AWGN channels;Reed-Solomon codes;OFDM modulation;Labeling","","3","","8","IEEE","3 Sep 2008","10-11 July 2008","10-11 July 2008","IEEE","IEEE Conferences"
"Multiple description based image transmission with Low Density Parity Check codes","G. Tsagkatakis; M. Zervakis; A. Savakis","Center for Imaging Science, Rochester Institute of Technology, Rochester, NY, USA; Department of Electrical and computer Engineering, Technical University of Crete, Chania, Greece; Department of Computer Engineering, Rochester Institute of Technology, Rochester, NY, USA",2008 15th IEEE International Conference on Image Processing,"12 Dec 2008","2008","","","2040","2043","The multiple description coding framework is well-suited for the transmission of images in the presence of transmission errors. However, it has been mainly explored for idealized channels, where packets are either received correctly or not at all. In more realistic scenarios, bitstreams are affected by bit-level noise and error correcting codes must be employed. In the proposed scheme, the input image is decomposed into wavelet coefficients that are encoded using lattice vector quantization for the generation of multiple descriptions. Low-density parity-check (LDPC) codes are used for the protection of each stream, while joint decoding exploits the correlation between the multiple descriptions. The proposed joint source-channel decoding scheme can provide robust transmission of images by introducing a controlled amount of redundancy that can be used for error recovery. Results are presented for image transmission over binary symmetric and Gaussian channels.","2381-8549","978-1-4244-1765-0","10.1109/ICIP.2008.4712186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4712186","Wavelet transforms;channel coding;image coding;error correction coding;source coding","Image communication;Parity check codes;Decoding;Image coding;Error correction codes;Wavelet coefficients;Lattices;Vector quantization;Protection;Streaming media","","","","17","IEEE","12 Dec 2008","12-15 Oct. 2008","12-15 Oct. 2008","IEEE","IEEE Conferences"
"Upper bound on the error exponent of regular LDPC codes transmitted over the BEC","I. Goldenberg; D. Burshtein","School of Electrical Engineering, Tel-Aviv University, Israel; School of Electrical Engineering, Tel-Aviv University, Israel",2008 5th International Symposium on Turbo Codes and Related Topics,"24 Oct 2008","2008","","","1","6","The error performance of the ensemble of typical LDPC codes transmitted over the binary erasure channel (BEC) is analyzed under iterative decoding. In the past, lower bounds on the error exponent were derived. In this paper a probabilistic upper bound on this error exponent is derived. This bound holds with some confidence level.","2165-4719","978-1-4244-2862-5","10.1109/TURBOCODING.2008.4658663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4658663","Block codes;error exponent;expurgated ensemble;stopping sets;low-density parity-check (LDPC) codes;iterative decoding;binary erasure channel (BEC)","Parity check codes;Upper bound;Iterative decoding;Polynomials;Decoding;Turbo codes;Probabilistic logic","","","","15","IEEE","24 Oct 2008","1-5 Sept. 2008","1-5 Sept. 2008","IEEE","IEEE Conferences"
"Design and performance of a novel low-density parity-check code for distributed video coding","J. Ascenso; C. Brites; F. Pereira",Instituto Superior de Engenharia de Lisboa; Instituto Superior Técnico; Instituto de Telecommunicações,2008 15th IEEE International Conference on Image Processing,"12 Dec 2008","2008","","","1116","1119","Low-density parity-check (LDPC) codes are nowadays one of the hottest topics in coding theory, notably due to their advantages in terms of bit error rate performance and low complexity. In order to exploit the potential of the Wyner-Ziv coding paradigm, practical distributed video coding (DVC) schemes should use powerful error correcting codes with near-capacity performance. In this paper, new ways to design LDPC codes for the DVC paradigm are proposed and studied. The new LDPC solutions rely on merging parity-check nodes, which corresponds to reduce the number of rows in the parity-check matrix. This allows to change gracefully the compression ratio of the source (DCT coefficient bitplane) according to the correlation between the original and the side information. The proposed LDPC codes reach a good performance for a wide range of source correlations and achieve a better RD performance when compared to the popular turbo codes.","2381-8549","978-1-4244-1765-0","10.1109/ICIP.2008.4711955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4711955","Wyner-Ziv video coding;LDPC codes","Parity check codes;Video coding;Decoding;Merging;Turbo codes;Codecs;Noise level;Signal to noise ratio;Video compression;Telecommunications","","13","4","12","IEEE","12 Dec 2008","12-15 Oct. 2008","12-15 Oct. 2008","IEEE","IEEE Conferences"
"A Class of Low-Density Parity-Check Convolutional Codes Based on Difference Families","Y. . -C. He; C. Cardinal; D. Haccoun","Department of Electrical Engineering, École Polytechnique de Montréal, Montreal, QUE, Canada; Department of Electrical Engineering, École Polytechnique de Montréal, Montreal, QUE, Canada; Department of Electrical Engineering, École Polytechnique de Montréal, Montreal, QUE, Canada",2008 IEEE International Conference on Communications,"30 May 2008","2008","","","1171","1175","An algebraic construction for a class of low-density parity-check (LDPC) convolutional codes is presented on the basis of difference families associated with the code generator matrix. It can be shown that these codes have girth of at least 10 on the Tanner graph which is independent of either the size of the code generator matrix or the minimum Hamming distance of the codes. The code construction guarantees the independence of the messages exchanged in the belief propagation decoding process during two successive decoding iterations. Computer simulations show that over the additive white Gaussian noise channel, the best error performance of these codes at moderate signal-to- noise ratio values is practically obtained using only three to five iterations.","1938-1883","978-1-4244-2075-9","10.1109/ICC.2008.228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4533264","","Parity check codes;Convolutional codes;Iterative decoding;Additive white noise;Hamming distance;Belief propagation;Computer simulation;Computer errors;Gaussian noise;Signal to noise ratio","","2","","11","IEEE","30 May 2008","19-23 May 2008","19-23 May 2008","IEEE","IEEE Conferences"
"Design of low-density parity-check codes for multi-input multi-output systems","J. H. Shin; J. Y. Kim; J. Heo","School of Electrical Engineering, Korea University, Seoul, Korea; Department of Radio Science and Engineering, Kwangwoon University, Seoul, Korea; School of Electrical Engineering, Korea University, Seoul, Korea",2008 International Symposium on Information Theory and Its Applications,"28 Apr 2009","2008","","","1","4","In previous works, density evolution schemes have been used to design an irregular low-density parity-check (LDPC) code for the multi-input multi-output (MIMO) systems. However the code design based on the density evolution can be used only for simple code structure like LDPC codes and repeat-accumulate (RA) codes. Recently simple and accurate irregular LDPC code design method based on the extrinsic information transfer (EXIT) chart was introduced for an AWGN channel. This code design scheme is much flexible, therefore it can be used for any kind of code structure like turbo codes. In this paper we design an irregular LDPC code for a MIMO system using the EXIT chart based scheme. The EXIT charts are used to obtain the optimal edge degree distribution of the irregular LDPC code combined with the MMSE-SIC MIMO detector. This scheme can be generalized for designing the optimal iterative MIMO detector combined with any kind of channel codes including turbo codes.","","978-1-4244-2068-1","10.1109/ISITA.2008.4895553","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4895553","","Parity check codes;MIMO;Turbo codes;Detectors;Iterative decoding;AWGN;Fading;Receiving antennas;Modems;Information theory","","","","10","IEEE","28 Apr 2009","7-10 Dec. 2008","7-10 Dec. 2008","IEEE","IEEE Conferences"
"Alternative good LDPC codes for DVB-S2","Y. Xiao; K. Kim","Institute of Information Science, Beijing Jiaotong University, Beijing, China; Department of Information and Communications, Gwangju Institute of Science and Technology, Gwangju, South Korea",2008 9th International Conference on Signal Processing,"8 Dec 2008","2008","","","1959","1962","This paper reveals that the current LDPC codes in DVB-S2 are not good, since they have the codes of minimum weight of 5, which leads to their BER can not satisfy the requirements of DVB-S2. This paper develops an algorithm to estimate the minimum weight of LDPC codes based on generator matrices. Using it, we can find the minimum weight problem of the current LDPC codes in DVB-S2. To enhance the minimum weight problem of the LDPC codes, we propose a new approach to construct the encodable irregular QC codes, which can not produce new short girths and can have much larger minimum weight and minimum distance of the codes. Simulations verify the construction of alternative QC LDPC codes for DVB-S2 to be valid, since better BER performance than that of existing irregular LDPC codes of DVB-S2 is obtained.","2164-523X","978-1-4244-2178-7","10.1109/ICOSP.2008.4697527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4697527","DVB-S2;channel coding;circulant matrices;low-density parity-check codes;encodable quasi-cyclic codes","Parity check codes;Digital video broadcasting;Testing;Bit error rate;Satellite broadcasting;TV broadcasting;Information science;Channel coding;Web and internet services;Quadrature phase shift keying","","10","","10","IEEE","8 Dec 2008","26-29 Oct. 2008","26-29 Oct. 2008","IEEE","IEEE Conferences"
"Construction and Complete Circuit for Quantum Low Density Parity Check Code","S. -m. Zhao; B. -y. Zheng","Nanjing University of Posts and Telecommunications, Nanjing, China; Nanjing University of Posts and Telecommunications, Nanjing, China",2008 Second International Conference on Genetic and Evolutionary Computing,"3 Oct 2008","2008","","","476","479","Quantum error correction is the basic technique for realization of quantum communication and quantum computation. So far, the theories of quantum error correction have become more and more perfect, and many counterpart of classical error correction coding technique have been found in quantum area. In this article, we proposed a new method of construction of parity check matrix of quantum low density parity check (LDPC) codes which based on classical quasi-cyclic LDPC codes, and selected the quantum code (3,8)(16,6) as the example to illustrate the construction of quantum code. We also gave its completing circuit by controlled-not gate and Hadamard gate.","","978-0-7695-3334-6","10.1109/WGEC.2008.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4637489","quantum error correction;sparse sequence;LDPC;quantum LDPC","Parity check codes;Sparse matrices;Construction industry;Encoding;Quantum computing;Error correction codes;Matrix converters","","","","13","IEEE","3 Oct 2008","25-26 Sept. 2008","25-26 Sept. 2008","IEEE","IEEE Conferences"
"Design of near-optimum quantum error-correcting codes based on generator and parity-check matrices of LDGM codes","J. Garcia-Frias; Kejing Liu","Department of Electrical and Computer Engineering, University of Delaware, Newark, DE, USA; Department of Electrical and Computer Engineering, University of Delaware, Newark, DE, USA",2008 42nd Annual Conference on Information Sciences and Systems,"9 Jul 2008","2008","","","562","567","We study the design of near-optimum quantum error correcting codes based on the use of sparse matrices. The basic idea is to construct a Calderbank-Shor-Steane (CSS) code based on the generator and parity-check matrices of a classical channel code with low density generator matrix (LDGM code), which is designed with a specific structure inspired in the parallel concatenation of regular LDGM codes. Then, row operations are performed in both matrices to achieve the desired quantum rate. Decoding is performed in an iterative manner, by applying message passing over the corresponding graphs. The proposed codes allow greater flexibility and are easier to design than existing sparse-graph quantum codes, while leading to better performance.","","978-1-4244-2246-3","10.1109/CISS.2008.4558588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4558588","Quantum error correction;CSS codes;LDGM codes","Error correction codes;Parity check codes;Sparse matrices;Cascading style sheets;Iterative decoding;Quantum computing;Message passing;Block codes;Computational complexity;Turbo codes","","10","","20","IEEE","9 Jul 2008","19-21 March 2008","19-21 March 2008","IEEE","IEEE Conferences"
