"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Combined source and channel coding with JPEG2000 and rate-compatible low-density Parity-check codes","Xiang Pan; A. Cuhadar; A. H. Banihashemi","Department of Systems and Computer Engineering, Broad-Band Communications and Wireless Systems (BCWS) Center, Carleton University, Ottawa, ONT, Canada; Department of Systems and Computer Engineering, Broad-Band Communications and Wireless Systems (BCWS) Center, Carleton University, Ottawa, ONT, Canada; Department of Systems and Computer Engineering, Broad-Band Communications and Wireless Systems (BCWS) Center, Carleton University, Ottawa, ONT, Canada",IEEE Transactions on Signal Processing,"21 Feb 2006","2006","54","3","1160","1164","Rate-compatible low-density parity-check (RC-LDPC) codes are used to provide unequal error protection for the robust and efficient transmission of JPEG2000 compressed images over noisy channels. The total bit budget is partitioned between the source and the channel coding by using a Viterbi algorithm (VA) applied to a search trellis, and appropriate channel code rates are assigned to the source blocks. The performance of the proposed scheme is evaluated on binary symmetric channels (BSCs). Experimental results indicate that the proposed scheme compares favorably with other combined source/channel coding schemes over a variety of channel conditions and transmission bit rates. In particular, the proposed scheme outperforms similar schemes based on turbo codes and irregular repeat-accumulate codes by up to about 1.1 and 1 dB in the expected peak signal-to-noise ratio (PSNR) of reconstructed images, respectively.","1941-0476","","10.1109/TSP.2005.863032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1597578","Combined source/channel coding;image coding;JPEG2000;progressive-edge-growth (PEG) construction;rate allocation;rate-compatible low-density parity-check (RC-LDPC) codes;unequal error protection (UEP)","Channel coding;Parity check codes;Transform coding;PSNR;Error correction codes;Robustness;Image coding;Viterbi algorithm;Bit rate;Turbo codes","","24","1","17","IEEE","21 Feb 2006","March 2006","","IEEE","IEEE Journals"
"Quasi-Cyclic Low-Density Parity-Check Codes for Space-Time Bit-Interleaved Coded Modulation","S. -n. Hong; S. Kim; D. -j. Shin; I. Lee","Telecommunication Research and Development Center, Samsung Electronics Company Limited, Suwon, South Korea; Telecommunication Research and Development Center, Samsung Electronics Company Limited, Suwon, South Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, South Korea; School of Electrical Engineering, Korea University, Seoul, South Korea",IEEE Communications Letters,"10 Oct 2008","2008","12","10","767","769","In this letter, it is shown that the diversity order of space-time bit-interleaved coded modulation (ST-BICM) system is determined by the number of submatrices having linearly independent column vectors in a parity-check matrix of quasicyclic low-density parity-check (QC-LDPC) code. It is also proved that this diversity order can be derived from the base matrix of QC-LDPC code, which can make it easy to design QC-LDPC codes suitable for ST-BICM systems. Finally, the simulation results are provided to confirm the analytical results","1558-2558","","10.1109/LCOMM.2008.080902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4640948","Quasi-cyclic low-density parity-check (QCLDPC) codes;space-time bit-interleaved coded modulation (STBICM);diversity order","Parity check codes;Interleaved codes;Modulation coding;Iterative decoding;Fading;AWGN;Maximum likelihood decoding;Hamming distance;Analytical models;Diversity methods","","4","8","8","IEEE","10 Oct 2008","October 2008","","IEEE","IEEE Journals"
"Reliability-based coded modulation with low-density parity-check codes","R. D. Maddock; A. H. Banihashemi","Department of Systems and Computer Engineering, Carleton University, Ottawa, ONT, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ONT, Canada",IEEE Transactions on Communications,"13 Mar 2006","2006","54","3","403","406","In this letter, we consider the interleaver design in bit-interleaved coded modulation (BICM) with low-density parity-check (LDPC) codes. The design paradigm is to provide more coding protection through iterative decoding to bits that are less protected by modulation (and are thus less reliable at the output of the demodulator). The design is carried out by an ad hoc search algorithm over the column permutations of the parity-check matrix. Our simulations show that the proposed reliability-based coded modulation scheme can improve the error-rate performance of conventional BICM schemes based on regular LDPC codes by a few tenths of a decibel, with no added complexity.","1558-0857","","10.1109/TCOMM.2006.869865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1605456","Bit-interleaved coded modulation (BICM);coded modulation;low-density parity-check (LDPC) codes;nonbinary modulation;reliability-based coded modulation","Modulation coding;Parity check codes;Fading;Phase modulation;Interleaved codes;Iterative decoding;Demodulation;Protection;AWGN channels;Degradation","","28","25","18","IEEE","13 Mar 2006","March 2006","","IEEE","IEEE Journals"
"Parity-Check Density Versus Performance of Binary Linear Block Codes: New Bounds and Applications","G. Wiechman; I. Sason","Department of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel; Department of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel",IEEE Transactions on Information Theory,"22 Jan 2007","2007","53","2","550","579"," The moderate complexity of low-density parity-check (LDPC) codes under iterative decoding is attributed to the sparseness of their parity-check matrices. It is therefore of interest to consider how sparse parity-check matrices of binary linear block codes can be a function of the gap between their achievable rates and the channel capacity. This issue was addressed by Sason and Urbanke, and it is revisited in this paper. The remarkable performance of LDPC codes under practical and suboptimal decoding algorithms motivates the assessment of the inherent loss in performance which is attributed to the structure of the code or ensemble under maximum-likelihood (ML) decoding, and the additional loss which is imposed by the suboptimality of the decoder. These issues are addressed by obtaining upper bounds on the achievable rates of binary linear block codes, and lower bounds on the asymptotic density of their parity-check matrices as a function of the gap between their achievable rates and the channel capacity; these bounds are valid under ML decoding, and hence, they are valid for any suboptimal decoding algorithm. The new bounds improve on previously reported results by Burshtein  and by Sason and Urbanke, and they hold for the case where the transmission takes place over an arbitrary memoryless binary-input output-symmetric (MBIOS) channel. The significance of these information-theoretic bounds is in assessing the tradeoff between the asymptotic performance of LDPC codes and their decoding complexity (per iteration) under message-passing decoding. They are also helpful in studying the potential achievable rates of ensembles of LDPC codes under optimal decoding; by comparing these thresholds with those calculated by the density evolution technique, one obtains a measure for the asymptotic suboptimality of iterative decoding algorithms. ","1557-9654","","10.1109/TIT.2006.889606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4069163","Block codes;iterative decoding;linear codes;low-density parity-check (LDPC) codes;maximum-likelihood (ML) decoding;thresholds","Parity check codes;Block codes;Maximum likelihood decoding;Iterative decoding;Sparse matrices;Channel capacity;Performance loss;Upper bound;Density measurement;Iterative algorithms","","25","","19","IEEE","22 Jan 2007","Feb. 2007","","IEEE","IEEE Journals"
"Use of Low-Density Parity-Check Codes for Dominant Error Events Detection and $k$-Constraint Enforcement","F. Sun; T. Zhang","Marvell Semiconductor, Inc., Santa Clara, CA, USA; Rensselaer Polytechnic Institute, Troy, NY, USA",IEEE Transactions on Magnetics,"19 Nov 2007","2007","43","12","4113","4116","In this paper, we propose to leverage the simple and explicit parity checks inherent in low-density parity-check (LDPC) codes to detect dominant error events without code rate penalty. This is enabled by enforcing a very weak constraint on the LDPC code parity check matrix structure. Such a constraint can be readily satisfied by most structured LDPC codes reported in the open literature, such as quasi-cyclic (QC) LDPC codes. Moreover, this zero-redundancy dominant error events detection can be extended to handle the bit errors that occur when deliberate bit-flipping is used to enforce -constraints. We have demonstrated the effectiveness of the proposed method in computer simulations.","1941-0069","","10.1109/TMAG.2007.907329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4380282","Dominant error events; $k$-constraint;low-density parity-check (LDPC)","Parity check codes;Event detection;Error correction codes;Decoding;Computer errors;Magnetic recording;Modulation coding;Detectors;Code standards;Detection algorithms","","","","20","IEEE","19 Nov 2007","Dec. 2007","","IEEE","IEEE Journals"
"Low-density parity-check matrices for coding of correlated sources","J. Muramatsu; T. Uyematsu; T. Wadayama","NTT Communication Science Laboratories, NTT Corporation, Kyoto, Japan; Tokyo Institute of Technology, Meguro, Tokyo, Japan; Nagoya Institute of Technology, Nagoya, Aichi, Japan",IEEE Transactions on Information Theory,"26 Sep 2005","2005","51","10","3645","3654","Linear codes for a coding problem of correlated sources are considered. It is proved that we can construct codes by using low-density parity-check (LDPC) matrices with maximum-likelihood (or typical set) decoding. As applications of the above coding problem, a construction of codes is presented for multiple-access channel with correlated additive noises and a coding theorem of parity-check codes for general channels is proved.","1557-9654","","10.1109/TIT.2005.855604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1512435","Linear codes;low-density parity-check (LDPC) matrix;multiterminal source coding;multiterminal channel coding;multiple-access channel with correlated additive noise;Slepian–Wolf source coding","Parity check codes;Entropy;Information theory;Probability;Testing;Tensile stress;Maximum likelihood decoding","","55","","27","IEEE","26 Sep 2005","Oct. 2005","","IEEE","IEEE Journals"
"A Turbo-Decoding Message-Passing Algorithm for Sparse Parity-Check Matrix Codes","M. M. Mansour","Department of Electrical and Computer Engineering, American University of Beirut, Beirut, Lebanon",IEEE Transactions on Signal Processing,"16 Oct 2006","2006","54","11","4376","4392","A turbo-decoding message-passing (TDMP) algorithm for sparse parity-check matrix (SPCM) codes such as low-density parity-check, repeat-accumulate, and turbo-like codes is presented. The main advantages of the proposed algorithm over the standard decoding algorithm are 1) its faster convergence speed by a factor of two in terms of decoding iterations, 2) improvement in coding gain by an order of magnitude at high signal-to-noise ratio (SNR), 3) reduced memory requirements, and 4) reduced decoder complexity. In addition, an efficient algorithm for message computation using simple “max” operations is also presented. Analysis using EXIT charts shows that the TDMP algorithm offers a better performance–complexity tradeoff when the number of decoding iterations is small, which is attractive for high-speed applications. A parallel version of the TDMP algorithm in conjunction with architecture-aware (AA) SPCM codes, which have embedded structure that enables efficient high-throughput decoder implementation, are presented. Design examples of AA-SPCM codes based on graphs with large girth demonstrate that AA-SPCM codes have very good error-correcting capability using the TDMP algorithm.","1941-0476","","10.1109/TSP.2006.880240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1710383","Iterative decoding;low-density parity-check (LDPC) codes;repeat-accumulate (RA) codes;Ramanujan graphs;turbo decoding algorithm;very large scale integration (VLSI) decoder architectures","Parity check codes;Sparse matrices;Maximum likelihood decoding;Iterative decoding;Turbo codes;Algorithm design and analysis;Very large scale integration;Throughput;Digital video broadcasting;Code standards","","84","9","45","IEEE","16 Oct 2006","Nov. 2006","","IEEE","IEEE Journals"
"BER performance due to irregularity of row-weight distribution of the parity-check matrix in irregular LDPC codes for 10-gb/s optical signals","Jinhyun Youn; H. Jang; Kyoungsoo Kim; Jichai Jeong","Department of Radio Engineering, Korea University, Seoul, South Korea; Department of Radio Engineering, Korea University, Seoul, South Korea; Department of Radio Engineering, Korea University, Seoul, South Korea; Department of Radio Engineering, Korea University, Seoul, South Korea",Journal of Lightwave Technology,"12 Sep 2005","2005","23","9","2673","2680","Forward-error correction (FEC) coding is theoretically investigated to improve bit-error-rate (BER) performance in a 10-Gb/s optical transmission system using randomly irregular low-density parity-check (LDPC) codes, regular LDPC codes, and the Reed-Solomon (RS) (255,239) code as a comparison. The irregular LDPC codes has different row-weight variances of a parity-check matrix from 10.9 to 18.8 and a row-weight mean of 60. Simulation is carried out under various conditions including the impairment factors such as dispersion, polarization-mode dispersion (PMD), and fiber nonlinearities. Results suggest that the irregular LDPC code with a low row-weight variance (=10.9) generally has better performance for the most impairment factors except for the factor of dispersion. On the other hand, for the factor of dispersion the irregular LDPC code performs better with a high row-weight variance (=18.8). A specific LDPC code can overcome the impairment limits in a deployed link.","1558-2213","","10.1109/JLT.2005.853153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1506843","Belief-propagation algorithm;block codes;forward-error correction (FEC);graph girth;iterative decoding;low-density parity-check (LDPC) codes;optical communications;sum–product algorithm (SPA)","Parity check codes;Bit error rate;Forward error correction;Iterative decoding;Degradation;AWGN;Polarization mode dispersion;Optical fiber polarization;Iterative algorithms;Optical fiber communication","","6","4","25","IEEE","12 Sep 2005","Sept. 2005","","IEEE","IEEE Journals"
"On maximum-length linear congruential-sequences-based low-density parity-check codes","Jing Sun; O. Y. Takeshita","QUALCOMM, Inc.orporated, San Diego, CA, USA; Electrical and Computer Engineering Department, Ohio State Uinversity, Columbus, OH, USA",IEEE Transactions on Communications,"12 Dec 2005","2005","53","12","1977","1980","This letter extends a low-density parity-check code construction using maximum-length linear congruential sequences by Prabhakar and Narayanan. The corresponding bipartite graphs of their construction were guaranteed to have a girth larger than four by a sufficient condition. However, their sufficient condition was limited to regular codes and data-node degree equal to three. The extension in this letter allows arbitrary data-node degrees and is applicable to irregular codes. Further, simpler sufficient conditions are derived and larger girths are addressed.","1558-0857","","10.1109/TCOMM.2005.860093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1556819","Error-correction coding;graph theory;low-density parity-check (LDPC) codes;permutation;sequences","Parity check codes;Sufficient conditions;Sun;Bipartite graph;Graph theory;Iterative decoding;H infinity control;Sparse matrices;Modulation coding;Communications Society","","2","","14","IEEE","12 Dec 2005","Dec. 2005","","IEEE","IEEE Journals"
"Field-programmable gate-array-based investigation of the error floor of low-density parity check codes for magnetic recording channels","Lingyan Sun; Hongwei Song; B. V. K. V. Kumar; Z. Keirn","Department of Electrical and Computer Engineering, Carnegie Mellon University, Pittsburgh, PA, USA; Read Channel Group, Agere Systems, Longmont, CO, USA; Department of Electrical and Computer Engineering, Carnegie Mellon University, Pittsburgh, PA, USA; Read Channel Group, Agere Systems, Longmont, CO, USA",IEEE Transactions on Magnetics,"17 Oct 2005","2005","41","10","2983","2985","Good performance of iterative detection and decoding using low-density parity check (LDPC) codes has stimulated great interest in the data storage industry. One major concern in using LDPC codes in the read channel is their error floor, which is still an open question. To investigate the performance of LDPC codes in low bit-error rates (BER/spl sim/10/sup -10/), we developed a high-throughput fully reconfigurable simulator using a field programmable gate array. Using this simulator, we are able to observe the performance of LDPC codes at low BER within a reasonably short time (10/sup -10/ within 1.5 h). We show the evaluation results for two types of LDPC codes.","1941-0069","","10.1109/TMAG.2005.854455","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1519181","Field-programmable gate array (FPGA);iterative decoding;low-density parity check (LDPC) code;SOVA","Parity check codes;Magnetic recording;Field programmable gate arrays;Bit error rate;Computational modeling;Maximum likelihood decoding;Iterative decoding;Detectors;Computer errors;Computer simulation","","10","2","5","IEEE","17 Oct 2005","Oct. 2005","","IEEE","IEEE Journals"
