ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
ieee:5161312,journal,Experimental Demonstration of Concatenated LDPC and RS Codes by FPGAs Emulation,❌,LDPC+RS 연접 FEC FPGA 데모; 표준 LDPC를 RS와 연접한 응용 데모로 새 디코더/구성 기여 없음(비-LDPC 연접),"Takashi Mizuochi, Yoshiaki Konishi, Yoshikuni Miyata, Tomoka Inoue, Kiyoshi Onohara, Soichiro Kametani, Takashi Sugihara, Kazuo Kubo, Hideo Yoshida, Tatsuya Kobayashi, Toshiyuki Ichikawa","The concatenation of low-density parity-check and Reed-Solomon codes for forward error correction has been experimentally demonstrated for the first time in this letter. Using a 2-bit soft-decision large-scale integration and high-speed field-programmable gate arrays, a net coding gain of 9.0 dB was achieved with 20.5% redundancy with four iterative decoding for an input bit-error rate of 8.9 times 10-3 at 31.3 Gb/s.",,"Sept.15, 2",10.1109/LPT.2009.2025867,https://ieeexplore.ieee.org/document/5161312
ieee:4914860,journal,Pointing Error Effects on Free-Space Optical Communication Links in the Presence of Atmospheric Turbulence,❌,"FSO 광통신 pointing error/난류 BER 분석; LDPC 무관, ECC 기법 없음","Deva K. Borah, David G. Voelz","The effects of pointing errors on the performance of a free-space optical laser communication system are studied. The log-normal and gamma-gamma irradiance probability density function models have been considered to include the effects of optical turbulence. An expression for the mean intensity under pointing fluctuations is derived. Results for ergodic and outage channel capacities are presented. Since the irradiance statistics vary with pointing fluctuations, a wave-optics-based approach is proposed to evaluate the capacity expressions. Although, in general, turbulence degrades communications link performance, it can reduce sensitivity to pointing errors by increasing the effective beam radius. Finally, we present analytical expressions for evaluating the bit-error-rate performance of the on -off keying system in the presence of pointing errors, and provide error performance results.",,"Sept.15, 2",10.1109/JLT.2009.2022771,https://ieeexplore.ieee.org/document/4914860
ieee:5153372,journal,Experimental Demonstration of a Hybrid Link for Mitigating Atmospheric Turbulence Effects in Free-Space Optical Communication,❌,"FSO 하이브리드 링크 결합디코딩 실증; 무선/광 응용 특이적, 떼어낼 LDPC ECC 기법 없음","Ricardo Luna, Deva K. Borah, Raja Jonnalagadda, David G. Voelz","Atmospheric turbulence causes severe performance degradation in free-space optical communication links. However, by using a reliable low-bandwidth wireline or RF link in parallel, the performance of such links can be improved significantly. This is achieved by using error correction codes at the transmitter and decoding the received data jointly over the two links at the receiver. Our work describes the feasibility study of such a hybrid link. It is observed that a 10% use of the wireline link can result in more than 8-dB performance gain in the optical link.",,"Sept.1, 20",10.1109/LPT.2009.2024214,https://ieeexplore.ieee.org/document/5153372
ieee:5039585,journal,Multiple-antenna techniques for wireless communications - a comprehensive literature survey,❌,MIMO 다중안테나 기법 종합 서베이 — LDPC ECC 신규 기여 없음,"Jan Mietzner, Robert Schober, Lutz Lampe, Wolfgang H. Gerstacker, Peter A. Hoeher","The use of multiple antennas for wireless communication systems has gained overwhelming interest during the last decade - both in academia and industry. Multiple antennas can be utilized in order to accomplish a multiplexing gain, a diversity gain, or an antenna gain, thus enhancing the bit rate, the error performance, or the signal-to-noise-plus-interference ratio of wireless systems, respectively. With an enormous amount of yearly publications, the field of multiple-antenna systems, often called multiple-input multiple-output (MIMO) systems, has evolved rapidly. To date, there are numerous papers on the performance limits of MIMO systems, and an abundance of transmitter and receiver concepts has been proposed. The objective of this literature survey is to provide non-specialists working in the general area of digital communications with a comprehensive overview of this exciting research field. To this end, the last ten years of research efforts are recapitulated, with focus on spatial multiplexing and spatial diversity techniques. In particular, topics such as transmitter and receiver structures, channel coding, MIMO techniques for frequency-selective fading channels, diversity reception and space-time coding techniques, differential and non-coherent schemes, beamforming techniques and closed-loop MIMO techniques, cooperative diversity schemes, as well as practical aspects influencing the performance of multiple-antenna systems are addressed. Although the list of references is certainly not intended to be exhaustive, the publications cited will serve as a good starting point for further reading.",,Second Qua,10.1109/SURV.2009.090207,https://ieeexplore.ieee.org/document/5039585
ieee:4384569,journal,A Positive Detecting Code and Its Decoding Algorithm for DNA Library Screening,❌,DNA library screening pooling/Bayesian network decoder; 부호 비의존 메시지패싱 아니고 NAND LDPC 무관,"Hiroaki Uehara, Masakazu Jimbo","The study of gene functions requires high-quality DNA libraries. However, a large number of tests and screenings are necessary for compiling such libraries. We describe an algorithm for extracting as much information as possible from pooling experiments for library screening. Collections of clones are called pools, and a pooling experiment is a group test for detecting all positive clones. The probability of positiveness for each clone is estimated according to the outcomes of the pooling experiments. Clones with high chance of positiveness are subjected to confirmatory testing. In this paper, we introduce a new positive clone detecting algorithm, called the Bayesian network pool result decoder (BNPD). The performance of BNPD is compared, by simulation, with that of the Markov chain pool result decoder (MCPD) proposed by Knill et al. in 1996. Moreover, the combinatorial properties of pooling designs suitable for the proposed algorithm are discussed in conjunction with combinatorial designs and d\hbox{-}{\rm disjunct} matrices. We also show the advantage of utilizing packing designs or BIB designs for the BNPD algorithm.",,Oct.-Dec. ,10.1109/TCBB.2007.70266,https://ieeexplore.ieee.org/document/4384569
ieee:4814742,journal,LDPC-Coded $M$ -ary PSK Optical Coherent State Quantum Communication,❌,광양자통신(M-ary PSK coherent state)에 large girth LDPC를 채널코드로 단순 사용. 신규 디코더/구성 기여 없는 표준 LDPC 응용,Ivan B. Djordjevic,"This paper addresses two important problems of interest for deep-space optical communications, quantum inter-chip/intra-chip optical communications and quantum-key distribution: 1) the problem of coded M-ary phase-shift keying optical coherent-state quantum communication in the absence of background radiation, and 2) the problem of coded binary coherent state communication in the presence of background radiation. In both cases large girth low-density parity-check (LDPC) codes are used as channel codes. With girth-10 LDPC-code of rate 0.8 and BPSK, the bit-error ratio of 10- 8 can be achieved for average number of signal photons of 0.73, resulting in net-effective coding gain of 7.63 dB.",,"March1, 20",10.1109/JLT.2008.2004566,https://ieeexplore.ieee.org/document/4814742
ieee:4810147,journal,Photonic Quantum Dual-Containing LDPC Encoders and Decoders,❌,"양자 LDPC 광학 인코더/디코더, CNOT·Hadamard 게이트 기반 양자 전용 구현으로 고전 바이너리 LDPC에 이식 불가",Ivan B. Djordjevic,"We propose encoder and decoder architectures for quantum low-density parity-check (LDPC) codes suitable for all-optical implementation, based on controlled-not (CNOT) and Hadamard gates only. Given the fact that the CNOT gate can be implemented using directional couplers, and Hadamard gate by using pi-hybrid, the proposed encoders/decoders architectures are suitable for implementation in integrated optics. In addition, we propose several quantum LDPC codes based on balanced incomplete block designs.",,"July1, 200",10.1109/LPT.2009.2019262,https://ieeexplore.ieee.org/document/4810147
ieee:4753958,journal,Correlation parameter estimation for LDPC-based slepian-wolf coding,❌,Slepian-Wolf 소스코딩의 상관 파라미터(BSC crossover) 추정—채널 ECC 아닌 소스코딩,"Yong Fang, Jechang Jeong","Currently, many practical SWC systems are implemented using the low-density parity-check (LDPC) codes in which the virtual correlation channel between source and side information is modeled as a binary symmetric channel (BSC) characterized by the crossover probability. This paper is contributed to the estimation of crossover probability through the probability mass function (PMF) of the magnitudes of loglikelihood ratio (LLR) messages. Simulation results are given to verify our proposed method.",,January 20,10.1109/LCOMM.2009.081247,https://ieeexplore.ieee.org/document/4753958
ieee:4768567,journal,A robust metric for soft-output detection in the presence of class-A noise,❌,"임펄스(class-A) 노이즈용 soft-output 검출 메트릭 — 채널검출 특이적, NAND LDPC에 떼어낼 디코더/HW/코드설계 기법 없음","Dario Fertonani, Giulio Colavolpe","Digital communications over channels impaired by impulse noise are considered. We first address the problem from an information-theoretical viewpoint, discussing the performance limits imposed by the channel model. Then, we describe and compare a couple of practical communication schemes employing powerful channel codes and iterative decoding, with focus on a very simple and robust detection scheme that does not require the estimation of the statistics of the impulse noise.",,January 20,10.1109/TCOMM.2009.0901.070041,https://ieeexplore.ieee.org/document/4768567
ieee:4753957,journal,On water-filling precoding for coded single-carrier systems,❌,"단일캐리어 water-filling precoding—무선 전송 기법, LDPC ECC 무관","Haitao Li, Xiaojun Yuan, Xiaokang Lin, Li Ping","We study the spectrum shaping gain in single carrier systems through water-filling precoding. We show that water-filling precoding outperforms other existing alternatives when iterative linear minimum mean square error (LMMSE) detection is involved, which is confirmed by both evolution analysis and simulation results. This technique does not incur any extra receiver cost when it is used together with frequency domain equalization (FDE).",,January 20,10.1109/LCOMM.2009.080799,https://ieeexplore.ieee.org/document/4753957
