ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
ieee:7466096,journal,Superposition Construction of  $Q$ -Ary LDPC Codes by Jointly Optimizing Girth and Number of Shortest Cycles,❌,q-ary(비이진 GF(q)) LDPC 구성 — 비이진 LDPC는 제외 대상,"Hengzhou Xu, Baoming Bai","In this letter, we consider the construction of q-ary low-density parity-check (LDPC) codes by jointly optimizing the girth and number of shortest cycles in the frame of superposition. We begin with constructing binary quasi-cyclic LDPC codes by superposition. By replacing the nonzero entries of the parity-check matrices of the resulting binary codes with the nonzero elements of GF(q), a class of q-ary LDPC codes is obtained. Furthermore, we analyze the cycle structure of the constructed codes for a given degree distribution and code length, and present a search algorithm for finding q-ary LDPC codes with few cycles of length g, where g is the optimized girth value. Simulation results show that the proposed codes perform well under the iterative decoding algorithms.",,July 2016,10.1109/LCOMM.2016.2564401,https://ieeexplore.ieee.org/document/7466096
ieee:7460154,journal,The Bethe Free Energy Allows to Compute the Conditional Entropy of Graphical Code Instances: A Proof From the Polymer Expansion,❌,Bethe free energy와 조건부엔트로피 관계 순수 이론 증명; 디코더/HW/구성으로 안 이어지는 이론 bound,"Nicolas Macris, Marc Vuffray","The main objective of this paper is to explore the precise relationship between the Bethe free energy (or entropy) and the Shannon conditional entropy of graphical error correcting codes. The main result shows that the Bethe free energy associated with a low-density parity-check code used over a binary symmetric channel in a large noise regime is, with high probability, asymptotically exact as the block length grows. To arrive at this result, we develop new techniques for rather general graphical models based on the loop sum as a starting point and the polymer expansion from statistical mechanics. The true free energy is computed as a series expansion containing the Bethe free energy as its zeroth-order term plus a series of corrections. It is easily seen that convergence criteria for such expansions are satisfied for general high-temperature models. We apply these general results to the ensembles of low-density generator-matrix and parity-check codes. While the application to generator-matrix codes follows standard high temperature methods, the case of parity-check codes requires non-trivial new ideas, because the hard constraints correspond to a zero-temperature regime. Nevertheless, one can combine the polymer expansion with expander and counting arguments to show that the difference between the true and Bethe free energies vanishes with high probability in the large block length limit.",,July 2016,10.1109/TIT.2016.2555843,https://ieeexplore.ieee.org/document/7460154
ieee:7458815,journal,A Combined Algebraic- and Graph-Based Method for Constructing Structured RC-LDPC Codes,✅,"대수+그래프 결합으로 QC 구조 RC-LDPC 신규 구성법(masking matrix, PEXIT); 바이너리 QC-LDPC 코드설계(E) 이식 가능","Xijin Mu, Conghui Shen, Baoming Bai","This letter presents a new method for constructing rate-compatible low-density parity-check (RC-LDPC) codes, which is based on combining algebraic-based and graph-based construction methods. We first use a graph-based tool, protograph extrinsic information transfer chart, to construct a masking matrix. Then, the parity-check matrices of RC-LDPC codes are determined in accordance with the framework of the algebraic-based method. The proposed codes own a quasi-cyclic structure, and thus have advantages in hardware implementations of encoder and decoder. Simulation results show that the codes can achieve good bit error rate performance in the waterfall region within a wide range of code rates.",,July 2016,10.1109/LCOMM.2016.2558152,https://ieeexplore.ieee.org/document/7458815
ieee:7457260,journal,A Novel UEP Fountain Coding Scheme for Scalable Multimedia Transmission,❌,스케일러블 멀티미디어용 UEP fountain code; BEC 위 fountain/UEP 응용으로 떼어낼 채널 LDPC ECC 기법 없음,"Lei Yuan, Huaan Li, Yi Wan","In this paper, we propose an efficient scheme to construct fountain codes that can provide unequal error protection (UEP) property. To reduce the coding complexity and improve the performance of previous duplicate UEP schemes in the literature, we implement different rate low-density parity-check codes instead of the duplication process and replace the high-complexity classical robust soliton distribution by low constant average degree distributions with high intermediate symbol recovery rates. Asymptotic analysis of both the duplicate scheme and our scheme is obtained by deriving unequal density evolution formulas over the binary erasure channel. Compared to previous UEP schemes, our scheme has lower complexity. Experimental results show that our scheme can obtain better decoding performance, especially for smaller input information length. Comparison of peak signal-noise ratio performance for the scalable video coding shows that, for moderate input information length, our scheme can provide a better basic video quality at lower overhead, but needs larger overhead to achieve a high video quality.",,July 2016,10.1109/TMM.2016.2557079,https://ieeexplore.ieee.org/document/7457260
ieee:7414518,journal,Effect of Reader Sensitivity Rotation in TDMR With Head Skew,❌,"TDMR 자기기록 reader sensitivity 회전; 표준 LDPC+iterative 디코딩 부수 적용, 신규 디코더/코드설계 기여 없음","R. Suzuto, Y. Nakamura, H. Osawa, Y. Okamoto, Y. Kanai, H. Muraoka","The 2-D magnetic recording (TDMR) by shingled magnetic recording (SMR) draws attention as a technology to increase the recording densities in a hard disk drive. The magnetization pattern is curved by the write field at the corner of the writer in SMR, and the information to read/write (R/W) channel performance is feared. Therefore, it is possible that the bit error rate performance is improved by fitting the reader sensitivity to the bit shape. In this paper, we evaluate the effect of reader sensitivity rotation in the TDMR R/W channel with head skew under a specification of 4 Tb/in2 by computer simulation, applying the low-density parity-check coding and the iterative decoding system with the 2-D finite impulse response filter. The results show that the rotated reader sensitivity fits the recorded bit magnetization shape, and the error-free skew range increases to -3°~6°. Therefore, the reader sensitivity rotation is considered to be an effective way to improve the skew margin in the TDMR system.",,July 2016,10.1109/TMAG.2016.2531088,https://ieeexplore.ieee.org/document/7414518
ieee:7464832,journal,Blind Reconstruction of Binary Cyclic Codes From Unsynchronized Bitstream,❌,바이너리 순환부호 블라인드 재구성(군사 감청); 부호 식별 문제로 LDPC 디코더/구성과 무관,"Arti D. Yardi, Saravanan Vijayakumaran, Animesh Kumar","The problem of identifying the channel code from a received sequence of noise-affected codewords is known as the blind reconstruction of channel codes. Blind reconstruction of channel codes is an important problem in military surveillance applications to identify the channel code used by an adversary. In this paper, we consider the problem of the blind reconstruction of the binary cyclic codes of unknown length from an unsynchronized bitstream (i.e., when the location of codeword boundaries is not known). For the blind reconstruction of cyclic codes, it is sufficient to identify the correct synchronization, the length, and the factors of the generator polynomial of the code. Toward this, we study the distribution of the syndromes (remainders) of the received polynomials with respect to a candidate factor of the generator polynomial. We prove that the probability of zero syndrome is maximum when all the parameters are correct. Using this result, the problem of the blind reconstruction of cyclic codes is formulated and solved as a hypothesis testing problem.",,July 2016,10.1109/TCOMM.2016.2561931,https://ieeexplore.ieee.org/document/7464832
ieee:7471486,journal,Fountain Codes With Nonuniform Selection Distributions Through Feedback,❌,피드백 기반 fountain(rateless) 부호 — fountain/erasure는 떼어낼 채널 ECC 기법 없어 제외,"Morteza Hashemi, Yuval Cassuto, Ari Trachtenberg","One key requirement for fountain (rateless) coding schemes is to achieve a high intermediate symbol recovery rate. Recent coding schemes have incorporated the use of a feedback channel to improve the intermediate performance of traditional rateless codes; however, these codes with feedback are designed based on uniformly at random selection of input symbols. In this paper, on the other hand, we develop feedback-based fountain codes with dynamically adjusted nonuniform symbol selection distributions, and show that this characteristic can enhance the intermediate decoding rate. We provide an analysis of our codes, including bounds on computational complexity and failure probability for a maximum likelihood decoder; the latter is tighter than bounds known for classical rateless codes. Through numerical simulations, we also show that the feedback information paired with a nonuniform selection distribution can highly improve the symbol recovery rate, and that the amount of feedback sent can be tuned to the specific transmission properties of a given feedback channel.",,July 2016,10.1109/TIT.2016.2570232,https://ieeexplore.ieee.org/document/7471486
ieee:7429782,journal,Asymmetric Error Correction and Flash-Memory Rewriting Using Polar Codes,❌,"플래시 rewriting용 비선형 polar code; LDPC 아니고 polar 특이적 기법이라 바이너리 LDPC BP에 이식 불가, 비-LDPC 제외","Eyal En Gad, Yue Li, Jörg Kliewer, Michael Langberg, Anxiao Andrew Jiang, Jehoshua Bruck","We propose efficient coding schemes for two communication settings: 1) asymmetric channels and 2) channels with an informed encoder. These settings are important in non-volatile memories, as well as optical and broadcast communication. The schemes are based on non-linear polar codes, and they build on and improve recent work on these settings. In asymmetric channels, we tackle the exponential storage requirement of previously known schemes that resulted from the use of large Boolean functions. We propose an improved scheme that achieves the capacity of asymmetric channels with polynomial computational complexity and storage requirement. The proposed non-linear scheme is then generalized to the setting of channel coding with an informed encoder using a multicoding technique. We consider specific instances of the scheme for flash memories that incorporate error-correction capabilities together with rewriting. Since the considered codes are non-linear, they eliminate the requirement of previously known schemes (called polar write-once-memory codes) for shared randomness between the encoder and the decoder. Finally, we mention that the multicoding scheme is also useful for broadcast communication in Marton's region, improving upon previous schemes for this setting.",,July 2016,10.1109/TIT.2016.2539967,https://ieeexplore.ieee.org/document/7429782
ieee:7470535,journal,Distance Enumerator Analysis for Interleave-Division Multi-User Codes,❌,"인터리브 분할 다중사용자 부호 거리 열거 이론 분석 — LDPC ECC 이식 기법 없음, 순수 이론","Guanghui Song, Jun Cheng","Consider an interleave-division multi-user coding model for a Gaussian multiple-access channel (MAC). Each user's message is encoded by a separate channel encoder followed by a user-interleaver, which is employed for user separation. All the users' codewords are jointly regarded as one multi-user codeword, and the distance between two multi-user codewords is defined as the Euclidean distance after the inter-user superposition caused by the MAC. A distance enumerator analysis estimates the multi-user maximum likelihood decoding performance. By introducing user-scramblers, a multi-user code ensemble is defined, and its distance enumerator is calculated as concatenated multiple single-user codes and a superposition code. Both finite-length and asymptotic analyses are given and it is shown that interleave-division multi-user codes have much better distance properties than conventional random direct-sequence code-division multiple-access. In fact, the codes achieve almost the same asymptotic uniquely decodable performance as a multi-user random code.",,July 2016,10.1109/TIT.2016.2569528,https://ieeexplore.ieee.org/document/7470535
ieee:11060461,journal,An ECC/DCT-Based Robust Video Steganography Algorithm for Secure Data Communication,❌,"DCT 도메인 비디오 스테가노그래피, Hamming/BCH 사용; LDPC 아니고 보안/은닉 응용, 떼어낼 ECC 기법 없음","Ramadhan J. Mstafa, Khaled M. Elleithy","Nowadays, the science of information hiding has gained tremendous significance due to advances in information and communication technology. The performance of any steganographic algorithm relies on the embedding efficiency, embedding payload, and robustness against attackers. Low hidden ratio, less security, and low quality of stego videos are the major issues of many existing steganographic methods. In this paper, we propose a novel video steganography method in discrete cosine transform (DCT) domain based on error correcting codes (ECC). To improve the security of the proposed algorithm, a secret message is first encrypted and encoded by using Hamming and BCH codes. Then, it is embedded into the DCT coefficients of video frames. The hidden message is embedded into DCT coefficients of each Y, U, and V planes excluding DC coefficients. The proposed algorithm is tested under two types of videos that contain slow and fast moving objects. The experiential results of the proposed algorithm are compared with three existing methods. The comparison results show that our proposed algorithm outperformed other algorithms. The hidden ratio of the proposed algorithm is approximately 27.53%, which is considered as a high hiding capacity with a minimal tradeoff of the visual quality. The robustness of the proposed algorithm was tested under different attacks.",,July 2016,10.13052/jcsm2245-1439.531,https://ieeexplore.ieee.org/document/11060461
