ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
arxiv:2604.25184v1,preprint,Enabling High Error Tolerance in Satellite Video Transmissions by Generative Semantic Communication,❌,"위성 생성형 시맨틱 통신, LDPC는 FEC 베이스라인으로 부수 언급 — 떼어낼 ECC 기법 없음, 제외.","Zixin Zhao, Jingzhi Hu, Geoffrey Ye Li","Low Earth orbit (LEO) satellite relays will significantly extend the coverage of mobile networks, enabling users in remote areas to transmit data of real-time events. Nevertheless, the limited power of user devices and the long distance to satellites lead to low signal-to-noise ratio (SNR), which results in high error rates and frequent retransmissions, severely hindering the transmissions of high-dimensional data such as videos. In this paper, we propose a novel method to achieve high error tolerance in satellite-relay video transmissions using generative semantic communications (GSC). For the transmitter, we design and optimize a semantic encoder integrating a pre-trained video encoder with a low-density parity-check (LDPC) encoder, efficiently achieving generalizability and enabling forward error correction. For the receiver, we fine-tune a generative video model using an efficient in-context adaptation algorithm, enabling it to reconstruct videos from error-corrupted semantic information. Simulation results show that our method achieves 2.5 dB higher video peak SNR than conventional semantic communications at an error rate of 45%, and remains robust when the error rate exceeds 80%.",eess.SP,2026-04-28,,https://arxiv.org/pdf/2604.25184v1
arxiv:2604.25026v1,preprint,Networked Realization of Quantum LDPC Codes,❌,"양자 LDPC의 네트워크 분산 구현(qubit 분할·teleported CNOT) — 양자 EC 제외, 이식형 고전 디코더/HW 없음.","Swayangprabha Shaw, Narayanan Rengaswamy","Quantum low-density parity-check (QLDPC) codes with good parameters are promising candidates for low-overhead fault-tolerant quantum computing, but their non-local stabilizers require long-range connectivity and frequent qubit movement, introducing practical challenges. Prior work has studied the networked implementation of topological codes, where each node only holds one or a few qubits of the entire code, and demonstrated competitive performance under practical constraints such as the quality of network-provided entanglement. However, since these codes are already geometrically local, such a networked setting might not be essential. In this work, we propose and study the networked implementation of better QLDPC codes, specifically bivariate bicycle codes due to their similarity to surface codes and the controlled amount of long-range connections in their stabilizers. We begin by recreating networked surface codes in Stim, with one code qubit per node, and provide additional insights into their circuit-level noise performance. We then extend this approach to bipartitions of bivariate bicycle codes, using balanced min-cut partitioning on their combined X-Z Tanner graph to identify optimal qubit splits. For stabilizers spanning nodes, we implement teleported CNOTs and vary the Bell pair fidelity enabling these gates. Through circuit-level noise simulations with BP-OSD decoding, we provide the first insights into networked realizations of these codes and compare their performance with monolithic implementations. We conclude by outlining advantages, limitations, and future directions.","quant-ph, cs.IT",2026-04-27,,https://arxiv.org/pdf/2604.25026v1
arxiv:2604.24918v1,preprint,Covariance-Aware Demapping on Fourier-Curve Constellations,❌,"곡면 constellation 디매핑/물리계층 보안 — LDPC는 coded link 베이스라인일 뿐, 떼어낼 ECC 기법 없음.","Bin Han, Muxia Sun, H. Vincent Poor, Hans D. Schotten","Injecting artificial noise (AN) along the tangent space of a curved constellation makes each transmitted symbol induce a Gaussian observation with a symbol-dependent rank-one covariance, so the matched maximum-likelihood (ML) decoder differs from the Euclidean nearest-neighbor decoder by a single rank-one correction per candidate. We develop a baseband-demapper realization of this correction for the Fourier-curve constellation and instantiate a regular $(3,6)$ low-density parity-check (LDPC)-coded link at $(k,M){=}(20,64)$. Against four baselines (Euclidean-mismatched, flat-constellation isotropic-AN, no-AN, and same-spectral-efficiency narrowband), the matched decoder extends the BLER${=}10^{-1}$ operating range by approximately $5$\,dB over the Euclidean-mismatched counterpart on the same tangent-AN transmitter, at a cost of $2kM$ additional multiply-accumulate operations per symbol ($+50\%/+100\%$ under residual/template-correlation accounting) and a $20$\,KB constellation--tangent lookup table ($10$\,KB incremental over a Euclidean template-only LUT). A bit-interleaved coded-modulation achievable-rate (BICM-AIR) computation supports the same matched-metric advantage at the tested labeling and max-log demapper, indicating that the BLER gain is not merely an artifact of this particular LDPC simulation, and a Woodbury extension generalizes the rank-one correction to per-tone Ricean fading. In the tested Monte-Carlo runs, a design-aware bounded-search eavesdropper without the phase-key shows no successful LDPC decoding at any tested $k\in\{2,8,20\}$ within a $B{=}10^{3}$ non-code-aided search budget; code-aided, multi-frame, and known-preamble attacks are left to follow-up work. LUT quantization down to $6$ bits yields no measurable coded-BLER degradation at the tested operating points.","cs.IT, eess.SP",2026-04-27,,https://arxiv.org/pdf/2604.24918v1
arxiv:2604.24633v1,preprint,Optimization Using Locally-Quantum Decoders,❌,"양자 디코더로 max-k-XORSAT 최적화 — 양자 알고리즘·최적화 목적, NAND ECC 이식형 고전 디코더 기법 아님.","Noah Shutty, Avijit Mandal, Seyoon Ragavan, Quentin Buzet, André Chailloux, Nicholas C. Rubin, Abid Khan, Sami Boulebnane, Ruslan Shaydulin, John Azariah, Stephen P. Jordan","It was pointed out in [JSW+25] that widely-studied optimization problems such as D-regular max-k-XORSAT can be reduced to decoding of LDPC codes, using quantum algorithms related to Regev's reduction. LDPC codes have very good decoders, such as Belief Propagation (BP), and this therefore makes D-regular max-k-XORSAT an enticing target for this class of quantum algorithms. However, BP was found insufficient to achieve quantum advantage. Here, we develop an intrinsically quantum decoding technique, which decodes classical LDPC codes subject to coherent superpositions of bit flip errors. For average-case instances of D-regular max-k-XORSAT drawn from Gallager's ensemble, this quantum decoder strongly outperforms classical belief propagation at many values of k and D. For some (k,D) the approximate optima achievable using this decoder surpass both Prange's algorithm and simulated annealing. However, we stop short of achieving quantum advantage because we identify an enhancement to Prange's algorithm that recovers a precise tie, much as a precise tie was observed between the standard version of Prange's algorithm and a more limited version of locally-quantum decoding in [CT24].",quant-ph,2026-04-27,,https://arxiv.org/pdf/2604.24633v1
arxiv:2604.22269v2,preprint,Semantic Error Correction and Decoding for Short Block Codes,❌,"시맨틱 오류정정/리스트디코딩(BART 기반), short block code 대상 — LDPC는 비교군, 시맨틱 통신 제외 카테고리.","Jiafu Hao, Chentao Yue, Wanchun Liu, Branka Vucetic, Yonghui Li","This paper presents a semantic-enhanced receiver framework for transmitting natural language sentences over noisy wireless channels using multiple short block codes. After ASCII encoding, the sentence is divided into segments, each independently encoded with a short block code and transmitted over an AWGN channel. At the receiver, segments are decoded in parallel, followed by a semantic error correction (SEC) model, which reconstructs corrupted segments using language model context. We further propose the semantic list decoding (SLD), which generates multiple candidate reconstructions and selects the best one via weighted Hamming distance, and a semantic confidence-guided HARQ (SHARQ) mechanism that replaces CRC-based error detection with a confidence score, enabling selective segment retransmission without CRC overhead. All modules are designed and trained using bidirectional and auto-regressive transformers (BART). Simulation results demonstrate that the proposed scheme significantly outperforms conventional capacity-approaching short codes and long codes at the same rate. Specifically, SEC provides approximately 0.4 dB BLER gain over plain short-code transmission, while SLD extends this to 0.8 dB. Compared to transmitting the entire sentence as a single long 5G LDPC codeword, our approach significantly improves semantic fidelity and reduces decoding latency by up to 90\%. SHARQ further provides an additional 1.5 dB gain over conventional HARQ.","cs.IT, cs.AI",2026-04-24,,https://arxiv.org/pdf/2604.22269v2
arxiv:2604.20838v2,preprint,High-Girth Regular Quantum LDPC Codes from Affine-Coset Structures,❌,양자 LDPC(CSS) 코드 구성·BP 디코딩으로 기준상 명시적 제외 카테고리(qLDPC); 떼어낼 고전 NAND 이식 기법 불명,"Koki Okada, Kenta Kasai","We construct a quantum low-density parity-check code family from a length-$512$ Calderbank--Shor--Steane base matrix pair. The base pair is permutation-equivalent to the known SPC(3) product CSS code, and the present affine-coset description gives a direct proof that both Tanner graphs are $(3,8)$-regular with girth $8$. The base code has parameters $[[512,174,8]]$. We then apply circulant permutation matrix (CPM) lifts. The main decoding experiment uses the CPM-lifted code with lift factor $P=32$, which has parameters $[[16384,4142,\le 40]]$, under the code-capacity depolarizing model. A belief-propagation decoder with post-processing achieved frame error rate about $10^{-8}$ at $p=0.085$, and one observed logical residual of weight $40$ gives a decoder-derived upper bound $d\le 40$.",quant-ph,2026-04-22,,https://arxiv.org/pdf/2604.20838v2
arxiv:2604.19481v1,preprint,Fault-Tolerant Quantum Computing with Trapped Ions: The Walking Cat Architecture,❌,"트랩이온 양자 컴퓨팅 FT 아키텍처용 qLDPC, 양자 EC로 명시적 제외, NAND 이식 가능 고전 디코더/HW 없음","Felix Tripier, Woo Chang Chung, Jacob Young, Safwan Alam, Bryce Bjork, Aharon Brodutch, Finn Lasse Buessen, Nolan J. Coble, Thomas Dellaert, Dmitri Maslov, Martin Roetteler, Edwin Tham, Mark Webster, Min Ye, John Gamble, Andrii Maksymov, J. P. Marceaux, Nicolas Delfosse","We propose a fault-tolerant quantum computer architecture for trapped-ion devices, which we call the walking cat architecture. Our blueprint includes a compiler, a detailed description of all the quantum error-correction protocols, a micro-architecture, a sufficiently fast decoder, and thorough simulations. The backbone of the architecture is a cat factory, producing cat states distributed throughout the machine, which are consumed to perform logical operations. The walking cat architecture is based entirely on a modern quantum error-correction approach called low-density parity-check (LDPC) codes.   We identify promising instances of the walking cat architecture, such as (1) a simple architecture based on a single LDPC code, (2) a fast architecture based on fast logical gates relying on a [[70, 6, 9]] code, equipped with Clifford-frame tracking for any 6-qubit Clifford gate, and (3) a dense architecture based on a [[102, 22, 9]]] code encoding 22 logical qubits per memory block. Our dense architecture provides a design with 110 logical qubits executing about one million T gates per day using only 2,514 physical qubits. We estimate that the quantum Hamiltonian simulation of a Heisenberg model on 100 sites can be executed within one month with 10,000 physical qubits, including all shots required to achieve chemical accuracy, suggesting that such a device could enter the regime of classically intractable physics simulations.   Our design relies on hardware components that have been experimentally demonstrated on small devices. We emphasize simplicity over hypothetical performance to facilitate the practical realization of this machine. Based on this approach, we believe that a fault-tolerant quantum computer with hundreds of logical qubits capable of running millions of logical gates can be built in the near term, providing a platform to explore a broad range of applications.","quant-ph, cs.ET",2026-04-21,,https://arxiv.org/pdf/2604.19481v1
arxiv:2604.19061v1,preprint,Three-Module SC-VAMP for LDPC-Coded Nonlinear Channels,❌,"비선형 채널 신호복구용 VAMP+BP 수신기 아키텍처, 무선 통신 응용 특이적이며 LDPC ECC 자체 기법 아님","Tadashi Wadayama, Takumi Takahashi","We propose a three-module extension of score-based VAMP (SC-VAMP) for signal recovery in nonlinear channels, where the received signal is obtained by applying a nonlinearity to a linear mixture of the transmitted signal, followed by additive Gaussian noise. The key idea is to introduce a latent variable representing the output of the linear mixing stage, which decomposes the inference problem into three modules: a likelihood module that handles the nonlinear observation via Gauss--Hermite quadrature, a coupling module that enforces the linear constraint between the transmitted signal and the latent variable via LMMSE estimation, and a denoiser module that incorporates the code constraint using belief propagation (BP) decoding. Each module exchanges extrinsic scalar-Gaussian messages with Onsager corrections derived from posterior variances that are computed in closed form or to quadrature accuracy. Numerical experiments with BPSK-modulated LDPC codewords transmitted through a hyperbolic tangent channel demonstrate that the proposed method achieves a clear waterfall in bit error rate (BER), with the gap to the capacity estimate narrowing as the block length increases from 128 to 2304. The framework provides a modular receiver architecture applicable to a broad class of nonlinear channels. Since only the likelihood module depends on the channel nonlinearity, the architecture readily adapts to other channel models by replacing a single module while leaving the coupling and decoder modules unchanged.",cs.IT,2026-04-21,,https://arxiv.org/pdf/2604.19061v1
arxiv:2604.18714v1,preprint,Efficient Routing of Quantum LDPC Codes on Programmable 2D Toric Architectures,❌,"양자 LDPC(BB) 코드의 2D 토릭 하드웨어 라우팅, 양자 EC로 명시적 제외, 고전 NAND 디코더/HW 이식성 없음","Kun Liu, Takahiro Tsunoda, Sophia H. Xue, Evan McKinney, Zeyuan Zhou, Shifan Xu, Robert J. Schoelkopf, Yongshan Ding","Quantum low-density parity-check codes are promising candidates towards scalable fault-tolerant quantum computation. Among these, bivariate bicycle (BB) codes offer superior encoding rates and large code distance compared to surface codes. However, their requirement on long-range stabilizer measurements poses significant challenges for implementation on realistic hardware with limited connectivity, such as superconducting circuit platforms. In this work, we introduce a novel hardware-software co-design that leverages a programmable communication network architecture to address these limitations. Our approach utilizes a 2D toric network of oscillators as a flexible communication fabric linking qubits at each site. Such architecture significantly reduces the number of long-range couplers required from $O(n)$ to $O(\sqrt{n})$. Dual-rail qubits, along with native gates including Swap-Wait-Swap gates and beamsplitter SWAPs, ensure that long-range two-qubit gates can be executed with high fidelity and low latency. To further enhance performance, our qubit layout and routing algorithm utilize symmetries of the codes and enable maximum parallelism for long-range two-qubit gates, maintaining a low syndrome extraction cycle duration and scalability over the code length. We perform circuit-level simulation with realistic noise modeling based on experimental hardware parameters, observing an logical error rate per logical qubit per cycle of 3.06\% for $[[18, 4, 4]]$ BB code, 2.6$\times$ less than the existing experimental result. These findings provide a practical roadmap and identify key technological advancements needed to achieve low-overhead fault-tolerant quantum computing at scale.",quant-ph,2026-04-20,,https://arxiv.org/pdf/2604.18714v1
arxiv:2604.17047v1,preprint,E2E-WAVE: End-to-End Learned Waveform Generation for Underwater Video Multicasting,❌,"E2E 학습 파형생성 시맨틱 수중영상 통신, LDPC는 베이스라인이며 오히려 FEC 무력화 주장—떼어낼 ECC 기법 없음(제외 카테고리)","Khizar Anjum, Tingcong Jiang, Dario Pompili","We present E2E-WAVE, the first end-to-end learned waveform generation system for underwater video multicasting. Acoustic channels exhibit 20--46% bit error rates where forward error correction becomes counterproductive -- LDPC increases rather than decreases errors beyond its decoding threshold. E2E-WAVE addresses this by embedding semantic similarity directly into physical layer waveforms: when decoding errors are unavoidable, the system preferentially selects semantically similar tokens rather than arbitrary corruption. Combining VideoGPT tokenization (1024x compression) with a trainable waveform bank and fully differentiable OFDM transmission, E2E-WAVE achieves +5 dB (19.26%) PSNR and +0.10 (14.28%) SSIM over the strongest FEC-protected baseline in less challenging underwater channel (NOF1) while delivering real-time 16 FPS video at 128x128 resolution over 2.3 kbps channels -- impossible for conventional digital modulation. The performance gap only increases in harsher channels (BCH1, NCS1). Trained on a single channel, E2E-WAVE generalizes to unseen underwater environments without retraining, while HEVC fails at sub-5 kbps rates and SoftCast's AWGN assumptions collapse on frequency-selective channels.","eess.SP, cs.LG, eess.IV",2026-04-18,,https://arxiv.org/pdf/2604.17047v1
