ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
ieee:6259797,journal,Flexible Channel Coding Approach for Short-Length Codewords,❌,"convolutional+q-ary 선형결합 short-length 부호, LDPC 아니고 q-ary, 떼어낼 BP 기법 없음","Mikel Hernaez, Pedro M. Crespo, Javier Del Ser","This letter introduces a channel coding design framework for short-length codewords which can achieve lower error floor than previous approaches. The proposed code is based on combining convolutional coding with a q-ary linear combination and unequal energy allocation. Simulation results suggest that for very low Bit Error Rates (BER) the proposed system will exhibit lower error floors than previous approaches, with a small performance penalty at mid-range BERs. On the other hand, when selecting an error floor higher than the previous approaches, the loss in performance at mid-range BERs is negligible.",,September ,10.1109/LCOMM.2012.073112.121295,https://ieeexplore.ieee.org/document/6259797
ieee:6259793,journal,FFT Based Sum-Product Algorithm for Decoding LDPC Lattices,❌,"LDPC lattice의 비이진/래티스 SPA(check node에서 local codeword 탐색), 바이너리 LDPC 아님","Lida Safarnejad, Mohammad-Reza Sadeghi","LDPC lattices were introduced by Sadeghi et al. in [13] and have a good performance under generalized minsum and sum-product algorithms. The high complexity of these algorithms is mainly due to the search for local valid codewords in each check node process. In addition, when the dimension of such lattices is increased, these decoding algorithms are very time-consuming. In this paper, we propose an FFT based sum-product algorithm to decode LDPC lattices. In the check node process, using the FFT method reduces the check node complexity from O(dcg2) to O(dcg log g) where dc is the degree of a check equation and g is the alphabet size of an LDPC lattice. As a result, with almost the same complexity cost, we have a significant improvement over the performance of the minsum based decoding 2-level LDPC lattices with the symbol error probability smaller than 10-5 at SNR = 1.5 dB.",,September ,10.1109/LCOMM.2012.073112.120996,https://ieeexplore.ieee.org/document/6259793
ieee:6305027,journal,Energy-Delay Tradeoff and Dynamic Sleep Switching for Bluetooth-Like Body-Area Sensor Networks,❌,"BAN 에너지-지연 트레이드오프/스케줄링, 부호화 무관","Eric Rebeiz, Giuseppe Caire, Andreas F. Molisch","Wireless technology enables novel approaches to healthcare, in particular the remote monitoring of vital signs and other parameters indicative of people's health. This paper considers a system scenario relevant to such applications, where a smart-phone acts as a data-collecting hub, gathering data from a number of wireless-capable body sensors, and relaying them to a healthcare provider host through standard existing cellular networks. Delay of critical data and sensors' energy efficiency are both relevant and conflicting issues. Therefore, it is important to operate the wireless body-area sensor network at some desired point close to the optimal energy-delay tradeoff curve. This tradeoff curve is a function of the employed physical-layer protocol: in particular, it depends on the multiple-access scheme and on the coding and modulation schemes available. In this work, we consider a protocol closely inspired by the widely-used Bluetooth standard. First, we consider the calculation of the minimum energy function, i.e., the minimum sum energy per symbol that guarantees the stability of all transmission queues in the network. Then, we apply the general theory developed by Neely to develop a dynamic scheduling policy that approaches the optimal energy-delay tradeoff for the network at hand. Finally, we examine the queue dynamics and propose a novel policy that adaptively switches between connected and disconnected (sleeping) modes. We demonstrate that the proposed policy can achieve significant gains in the realistic case where the control ""NULL"" packets necessary to maintain the connection alive, have a non-zero energy cost, and the data arrival statistics corresponding to the sensed physical process are bursty.",,September ,10.1109/TCOMM.2012.12.110143A,https://ieeexplore.ieee.org/document/6305027
ieee:6225390,journal,Embracing Asynchronism: Achieving Cooperative Diversity using Zigzag Interference Cancellation,❌,"협력 다이버시티/지그재그 간섭제거 기법, LDPC 무관, 떼어낼 ECC 기법 없음","Charlotte Hucher, Parastoo Sadeghi","Synchronization between the received signals from several transmitters is a challenging problem for cooperative communications. In the literature it is often assumed that the signals are somehow perfectly synchronized, but the problem of communication with asynchronism is rarely addressed. Moreover, in the few works where the problem is addressed, the proposed techniques are designed for a maximum delay whose value determines the decoding complexity. Thus in practice, only small delays can be dealt with. In this paper, instead of trying to avoid asynchronism between the received signals from two different transmitters, we propose to exploit it to provide cooperative diversity by optimally combining the two signals resulting from forward and backward zigzag interference cancellation. In addition to being tolerant to any delay, our bit error rate derivations and simulations show that the proposed scheme provides similar performance as delay-tolerant space-time block codes, such as the delay-tolerant Alamouti code, with a much lower complexity compared to a maximum likelihood (ML) decoder.",,September ,10.1109/TWC.2012.061912.111416,https://ieeexplore.ieee.org/document/6225390
ieee:6235070,journal,Hierarchical Space Shift Keying for Unequal Error Protection,❌,"공간변조(SSK) UEP 설계, 변조 기법이라 LDPC ECC와 무관","Ronald Y. Chang, Sian-Jheng Lin, Wei-Ho Chung","In this letter, we introduce the concept of enabling unequal error protection (UEP) with space shift keying (SSK)-type modulation that encodes the source information entirely in the antenna indices. Unique characteristics associated with SSK-type modulation as compared with conventional pulse/quadrature amplitude modulation (PAM/QAM) are discussed in the context of UEP design. Three general design concepts for two-level and three-level UEP are presented. Simulation results confirm the multilevel bit protection capabilities of the proposed hierarchical spatial constellation designs.",,September ,10.1109/LCOMM.2012.070512.120242,https://ieeexplore.ieee.org/document/6235070
ieee:8532162,journal,A Simulation and Graph Theoretical Analysis of Certain Properties of Spectral Null Codebooks,❌,"Spectral null 코드 그래프이론 분석, LDPC와의 link 언급뿐 떼어낼 신규 LDPC 기법 없음","K. Ouahada, H. C. Ferreira","The spectral shaping technique and the design of codes providing nulls at rational sub-multiples of the symbol frequency, as the case with spectral null (SN) codes, have enhanced digital signaling over communication channels as digital mass recorders and metallic cables. The study of the special structure of these codes helps in investigating and analyzing certain of their properties which have been proved and emphasized from a mathematical perspective using graph theory. The cardinality of spectral null codebooks reflects the rate of spectral null codes and therefore the amount of transmitted information data. The rate of these codes can also play a role in their error correction capability. The paper presents in different ways the special structure of spectral null codebooks and analyze better their properties. A possible link between these codes and other error correcting codes as the case of Low Density Parity Check (LDPC) is presented and discussed in this paper.",,Sept. 2012,10.23919/SAIEE.2012.8532162,https://ieeexplore.ieee.org/document/8532162
ieee:6317120,journal,Interval-Passing Algorithm for Non-Negative Measurement Matrices: Performance and Reconstruction Analysis,❌,"Compressive sensing 신호복원 알고리즘(IPA), 채널 ECC 아님 - LDPC는 측정행렬 stopping set 분석에만 부수 사용","Vida Ravanmehr, Ludovic Danjean, Bane Vasic, David Declercq","We consider the Interval-Passing Algorithm (IPA), an iterative reconstruction algorithm for reconstruction of non-negative sparse real-valued signals from noise-free measurements. We first generalize the IPA by relaxing the original constraint that the measurement matrix must be binary. The new algorithm operates on any non-negative sparse measurement matrix. We give a performance comparison of the generalized IPA with the reconstruction algorithms based on 1) linear programming and 2) verification decoding. Then we identify signals not recoverable by the IPA on a given measurement matrix, and show that these signals are related to stopping sets responsible to failures of iterative decoding algorithms on the binary erasure channel (BEC). Contrary to the results of the iterative decoding on the BEC, the smallest stopping set of a measurement matrix is not the smallest configuration on which the IPA fails. We analyze the recovery of sparse signals on subsets of stopping sets via the IPA and provide sufficient conditions on the exact recovery of sparse signals. Reconstruction performance of the IPA using the IEEE 802.16e LDPC codes as measurement matrices are given to show the effect of stopping sets in the performance of the IPA.",,Sept. 2012,10.1109/JETCAS.2012.2218512,https://ieeexplore.ieee.org/document/6317120
ieee:5975152,journal,An Iterative Algorithm for Trust Management and Adversary Detection for Delay-Tolerant Networks,❌,"DTN 신뢰관리/적대노드 탐지에 LDPC 메시지패싱 영감만 받은 reputation 알고리즘, ECC 기법 아님","Erman Ayday, Faramarz Fekri","Delay/Disruption Tolerant Networks (DTNs) have been identified as one of the key areas in the field of wireless communication, wherein sparseness and delay are particularly high. They are emerging as a promising technology in vehicular, planetary/interplanetary, military/tactical, disaster response, underwater and satellite networks. DTNs are characterized by large end-to-end communication latency and the lack of end-to-end path from a source to its destination. These characteristics pose several challenges to the security of DTNs. Especially, Byzantine attacks in which one or more legitimate nodes have been compromised and fully controlled by the adversary can give serious damages to the network in terms of latency and data availability. Using reputation-based trust management systems is shown to be an effective way to handle the adversarial behavior in Mobile Ad hoc Networks (MANETs). However, because of the unique characteristics of DTNs, those traditional techniques do not apply to DTNs. Our main objective in this paper is to develop a robust trust mechanism and an efficient and low cost malicious node detection technique for DTNs. Inspired by our recent results on reputation management for online systems and e-commerce, we develop an iterative malicious node detection mechanism for DTNs referred as ITRM. The proposed scheme is a graph-based iterative algorithm motivated by the prior success of message passing techniques for decoding low-density parity-check codes over bipartite graphs. Applying ITRM to DTNs for various mobility models, we observed that the proposed iterative reputation management scheme is far more effective than well-known reputation management techniques such as the Bayesian framework and EigenTrust. Further, we concluded that the proposed scheme provides high data availability and packet-delivery ratio with low latency in DTNs under various adversary attacks which attempt to both undermine the trust and detection scheme and the packet delivery protocol.",,Sept. 2012,10.1109/TMC.2011.160,https://ieeexplore.ieee.org/document/5975152
ieee:6331566,journal,Fast Decoding and Hardware Design for Binary-Input Compressive Sensing,❌,"Binary-input compressive sensing 변조 코딩, 채널 ECC 아닌 rate adaptation - LDPC ECC 아님","Min Wang, Jun Wu, Sai Feng Shi, Chong Luo, Feng Wu","Binary-input compressive sensing (BiCS) has recently been applied to wireless communications as a modulated coding scheme for seamless rate adaptation. Different from conventional channel codes which generate binary symbols with logical-OR (XOR) operations, BiCS generates multilevel symbols through weighted sum operation. Although BiCS can be decoded by message passing, it needs to compute the convolution of probability functions in each iteration. The high decoding complexity has prevented the technique from being applied to practical use. In this paper, we propose a fast BiCS decoding algorithm and its corresponding partial-parallel hardware design. In this algorithm, we first build lookup tables to solve the computationally intensive problem of convolution. Through these tables, we successfully convert the convolution of probabilities into the polynomial of some exponential terms. This key step allows us to use log-likelihood ratio as message in message passing decoding and a fast algorithm is developed by approximate computing. We further design a partial-parallel hardware decoder. To avoid memory collision, we propose a multilevel cyclic-shift approach to generate the CS measurement matrix. We design horizontal unit processors with the proposed tables for iterative computing. Our analyses show that the proposed fast algorithm can reduce multiplications by nearly 90%. The decoding speed of our field-programmable gate array design reaches the range of communication rate in modern wireless networks.",,Sept. 2012,10.1109/JETCAS.2012.2220291,https://ieeexplore.ieee.org/document/6331566
ieee:6214625,journal,A Practical Architecture for OFDM-Based Decode-and-Forward Physical Layer Network Coding,❌,"OFDM physical layer network coding 무선 응용, LDPC 언급 없고 떼어낼 ECC 기법 없음","Francesco Rossetto, Michele Zorzi","In physical layer network coding, it has been argued that performance improvements of a few dBs can be achieved by decoding a linear combination of colliding frames at an intermediate relay. The best results have been achieved by directly decoding the necessary linear combination rather than decoding each of the colliding packets, but so far only rather impractical architectures have been proposed. We explore in this paper a more pragmatic approach, where some important problems have been solved. We show by simulation that the proposed system is able to outperform analog network coding, the only other known practical architecture in this area so far, with substantial gains especially when noise amplification at the relay can be particularly detrimental, for instance when spatial diversity is available or large networks are analyzed.",,Sept. 2012,10.1109/TSP.2012.2203812,https://ieeexplore.ieee.org/document/6214625
