ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
arxiv:2512.24232v1,preprint,"SC-LDPC Codes Over $\mathbb{F}_q$: Minimum Distance, Decoding Analysis and Threshold Saturation",미선별,,"Jiaxin Lyu, Guanghui He","We investigate random spatially coupled low-density parity-check (SC-LDPC) code ensembles over finite fields. Under different variable-node edge-spreading rules, the random Tanner graphs of several coupled ensembles are defined by multiple independent, uniformly random monomial maps. The two main coupled ensembles considered are referred to as the standard coupled ensemble and the improved coupled ensemble. We prove that both coupled ensembles exhibit asymptotically good minimum distance and minimum stopping set size. Theoretical and numerical results show that the improved coupled ensemble can achieve better distance performance than the standard coupled ensemble. We introduce the essential preliminaries and analytical tools needed to analyze the iterative decoding threshold of coupled ensembles over any finite field. We consider a class of memoryless channels with special symmetry, termed q-ary input memoryless symmetric channels (QMSCs), and show that, for these channels, the distribution of channel messages (in form of probability vectors) likewise exhibits this symmetry. Consequently, we define symmetric probability measures and their reference measures on a finite-dimensional probability simplex, analyze their foundational properties and those of their linear functionals, endow their respective spaces with metric topologies, and conduct an in-depth study of their degradation theory. Based on our analytical framework, we establish a universal threshold saturation result for both of the coupled ensembles over a q-ary finite field on QMSCs. Specifically, as the coupling parameters increase, the belief-propagation threshold of a coupled system saturates to a well-defined threshold that depends only on the underlying ensemble and the channel family.",cs.IT,2025-12-30,,https://arxiv.org/pdf/2512.24232v1
arxiv:2512.22948v1,preprint,Generalized Hyperderivative Reed-Solomon Codes,미선별,,"Mahir Bilen Can, Benjamin Horowitz","This article introduces Generalized Hyperderivative Reed-Solomon codes (GHRS codes), which generalize NRT Reed-Solomon codes. Its main results are as follows: 1) every GHRS code is MDS, 2) the dual of a GHRS code is also an GHRS code, 3) determine subfamilies of GHRS codes whose members are low-density parity-check codes (LDPCs), and 4) determine a family of GHRS codes whose members are quasi-cyclic. We point out that there are GHRS codes having all of these properties.","cs.IT, math.RA",2025-12-28,,https://arxiv.org/pdf/2512.22948v1
arxiv:2512.22731v1,preprint,"Iterative Channel Estimation, Detection and Decoding for Multi-Antenna Systems with RIS",미선별,,"Roberto C. G. Porto, Rodrigo C. de Lamare","This work proposes an iterative channel estimation, detection and decoding (ICEDD) scheme for the uplink of multi-user multi-antenna systems assisted by multiple reconfigurable intelligent surfaces (RIS)}. A novel iterative code-aided channel estimation (ICCE) technique is developed that uses low-density parity-check (LDPC) codes and iterative processing to enhance estimation accuracy while reducing pilot overhead. The core idea is to exploit encoded pilots (EP), enabling the use of both pilot and parity bits to iteratively refine channel estimates. To further improve performance, an iterative channel tracking (ICT) method is proposed that takes advantage of the temporal correlation of the channel. An analytical evaluation of the proposed estimator is provided in terms of normalized mean-squared error (NMSE), along with a study of its computational complexity and the impact of the code rate. Numerical results validate the performance of the proposed scheme in a sub-6 GHz multi-RIS scenario with non-sparse propagation, under both LOS and NLOS conditions, and different RIS architectures.",cs.IT,2025-12-28,,https://arxiv.org/pdf/2512.22731v1
arxiv:2512.22116v1,preprint,General Construction of Quantum Error-Correcting Codes from Multiple Classical Codes,미선별,,"Yue Wu, Meng-Yuan Li, Chengshu Li, Hui Zhai","The hypergraph product (HGP) construction of quantum error-correcting codes (QECC) offers a general and explicit method for building a QECC from two classical codes, thereby paving the way for the discovery of good quantum low-density parity-check codes. In this letter, we propose a general and explicit construction recipe for QECCs from a total of D classical codes for arbitrary D. Following this recipe guarantees the obtainment of a QECC within the stabilizer formalism and nearly exhausts all possible constructions. As examples, we demonstrate that our construction recovers the HGP construction when D = 2 and leads to four distinct types of constructions for D = 3, including a previously studied case as one of them. When the input classical codes are repetition codes, our D = 3 constructions unify various three-dimensional lattice models into a single framework, encompassing the three-dimensional toric code model, a fracton model, and two other intriguing models not previously investigated. Among these, two types of constructions exhibit a trade-off between code distance and code dimension for a fixed number of qubits by adjusting the lengths of the different classical codes, and the optimal choice can simultaneously achieve relatively large values for both code distance and code dimension. Our general construction protocol provides another perspective for enriching the structure of QECCs and enables the exploration of richer possibilities for good codes.","quant-ph, cond-mat.quant-gas, cond-mat.str-el",2025-12-26,,https://arxiv.org/pdf/2512.22116v1
arxiv:2512.21922v2,preprint,Poincaré Duality and Multiplicative Structures on Quantum Codes,미선별,,"Yiming Li, Zimu Li, Zi-Wen Liu, Quynh T. Nguyen","Quantum LDPC codes have attracted intense interest due to their advantageous properties for realizing efficient fault-tolerant quantum computing. In particular, sheaf codes represent a novel framework that encompasses all well-known good qLDPC codes with profound underlying mathematics. In this work, we generalize Poincaré duality from manifolds to both classical and quantum codes defined via sheaf theory on $t$-dimensional cell complexes. Viewing important code properties including the encoding rate, code distance, local testability soundness, and efficient decoders as parameters of the underlying (co)chain complexes, we rigorously prove a duality relationship between the $i$-th chain and the $(t-i)$-th cochain of sheaf codes.   We further build multiplicative structures such as cup and cap products on sheaved chain complexes, inspired by the standard notions of multiplicative structures and Poincaré duality on manifolds. This immediately leads to an explicit isomorphism between (co)homology groups of sheaf codes via a cap product. As an application, we obtain transversal disjoint logical $\mathrm{C}Z$ gates with $k_{\mathrm{C}Z}=Θ(n)$ on families of good qLDPC and almost-good quantum locally testable codes. Moreover, we provide multiple new methods to construct transversal circuits composed of $\mathrm{C}\mathrm{C}Z$ gates as well as for higher order controlled-$Z$ that are provably logical operations on the code space. We conjecture that they generate nontrivial logical actions, pointing towards fault-tolerant non-Clifford gates on nearly optimal qLDPC sheaf codes. Mathematically, our results are built on establishing the equivalence between sheaf cohomology in the derived-functor sense, Čech cohomology, and the cohomology of sheaf codes, thereby introducing new mathematical tools into quantum coding theory.","quant-ph, cs.CC, cs.IT, math-ph",2025-12-26,,https://arxiv.org/pdf/2512.21922v2
arxiv:2512.20532v1,preprint,Small quantum Tanner codes from left--right Cayley complexes,미선별,,"Anthony Leverrier, Wouter Rozendaal, Gilles Zémor","Quantum Tanner codes are a class of quantum low-density parity-check codes that provably display a linear minimum distance and a constant encoding rate in the asymptotic limit. When built from left--right Cayley complexes, they can be described through a lifting procedure and a base code, which we characterize. We also compute the dimension of quantum Tanner codes when the right degree of the complex is 2. Finally, we perform an extensive search over small groups and identify instances of quantum Tanner codes with parameters $[[144,12,11]]$, $[[432,20,\leq 22]]$ and $[[576,28,\leq 24]]$ for generators of weight 9.",quant-ph,2025-12-23,,https://arxiv.org/pdf/2512.20532v1
arxiv:2512.20426v1,preprint,Metrologically advantageous states: long-range entanglement and asymmetric error correction,미선별,,"Junjie Chen, Rui Luo, Yuxuan Yan, You Zhou, Xiongfeng Ma","Quantum metrology aims to exploit many-body quantum states to achieve parameter-estimation precision beyond the standard quantum limit. For unitary parameter encoding generated by local Hamiltonians, such enhancement is characterized by superlinear scaling of the quantum Fisher information (QFI) with system size. Despite extensive progress, a systematic understanding of which many-body quantum states can exhibit this scaling has remained elusive. Here, we develop a general framework that connects metrological performance to long-range entanglement, state-preparation complexity, and quantum error-correction properties. We prove that super-linear QFI scaling necessarily requires long-range entanglement by deriving rigorous complexity-dependent upper bounds on the QFI. We further show that, for two broad classes of quantum error-correcting codes, nondegenerate codes and Calderbank--Shor--Steane quantum low-density parity-check codes, a nonconstant code distance precludes super-linear QFI scaling for a wide class of local Hamiltonians, revealing a fundamental incompatibility between metrological sensitivity and protection against local noise. Finally, we identify constructive routes that evade this obstruction by exploiting asymmetric code structures. In particular, we show that states associated with classical low-density parity-check codes, as well as asymmetric toric code states, both having asymmetric logical distances, can achieve Heisenberg-limited scaling. Together, our results establish long-range entanglement and asymmetric error correction as the essential resource underlying quantum metrology and clarify the interplay among state complexity, error correction, and metrological power.",quant-ph,2025-12-23,,https://arxiv.org/pdf/2512.20426v1
arxiv:2512.19834v1,preprint,Towards a point-to-point CV-QKD system: Implementation challenges and perspectives,미선별,,"Davi Juvêncio Gomes de Sousa, Nelson Alves Ferreira Neto, Christiano M. S. Nascimento, Lucas Q. Galvão, Mauro Queiroz Nooblath Neto, Micael Andrade Dias, Cássio de Castro Silva, Braian Pinheiro da Silva, Alexandre B. Tacla, Valéria Loureiro da Silva","This article presents an analysis of the practical challenges and implementation perspectives of point-to-point continuous-variable quantum key distribution (CV-QKD) systems over optical fiber. The study addresses the physical layer, including the design of transmitters, quantum channels, and receivers, with emphasis on impairments such as attenuation, chromatic dispersion, polarization fluctuations, and coexistence with classical channels. We further examine the role of digital signal processing (DSP) as the bridge between quantum state transmission and classical post-processing, highlighting its impact on excess noise mitigation, covariance matrix estimation, and reconciliation efficiency. The post-processing pipeline is detailed with a focus on parameter estimation in the finite-size regime, information reconciliation using LDPC-based codes optimized for low-SNR conditions, and privacy amplification employing large-block universal hashing. From a hardware perspective, we discuss modular digital architectures that integrate dedicated accelerators with programmable processors, supported by a reference software framework (CV-QKD-ModSim) for algorithm validation and hardware co-design. Finally, we outline perspectives for the deployment of CV-QKD in Brazil, starting from metropolitan testbeds and extending toward hybrid fiber/FSO and space-based infrastructures. The work establishes the foundations for the first point-to-point CV-QKD system in Brazil, while providing a roadmap for scalable and interoperable quantum communication networks.","quant-ph, cs.ET, cs.IR, cs.IT, eess.SP",2025-12-22,,https://arxiv.org/pdf/2512.19834v1
arxiv:2512.17834v1,preprint,A 14ns-Latency 9Gb/s 0.44mm$^2$ 62pJ/b Short-Blocklength LDPC Decoder ASIC in 22FDX,미선별,,"Darja Nonaca, Jérémy Guichemerre, Reinhard Wiesmayr, Nihat Engin Tunali, Christoph Studer","Ultra-reliable low latency communication (URLLC) is a key part of 5G wireless systems. Achieving low latency necessitates codes with short blocklengths for which polar codes with successive cancellation list (SCL) decoding typically outperform message-passing (MP)-based decoding of low-density parity-check (LDPC) codes. However, SCL decoders are known to exhibit high latency and poor area efficiency. In this paper, we propose a new short-blocklength multi-rate binary LDPC code that outperforms the 5G-LDPC code for the same blocklength and is suitable for URLLC applications using fully parallel MP. To demonstrate our code's efficacy, we present a 0.44mm$^2$ GlobalFoundries 22FDX LDPC decoder ASIC which supports three rates and achieves the lowest-in-class decoding latency of 14ns while reaching an information throughput of 9Gb/s at 62pJ/b energy efficiency for a rate-1/2 code with 128-bit blocklength.","cs.AR, eess.SP",2025-12-19,,https://arxiv.org/pdf/2512.17834v1
arxiv:2512.17310v2,preprint,Cryptanalysis of LDPC-Based Pseudorandom Error-Correcting Codes,미선별,,"Tianrui Wang, Anyu Wang, Tianshuo Cong, Delong Ran, Jinyuan Liu, Xiaoyun Wang","Pseudorandom error-correcting codes (PRCs), a novel cryptographic primitive recently proposed at CRYPTO 2024, are primarily applied in undetectable watermarking schemes for large generative models.However, the security of PRCs has not yet been systematically analyzed. To fill this gap, we present the first cryptanalysis of PRCs.Specifically, focusing on LDPC-PRC, the only known practical instantiation of PRCs, we propose three novel attacks that challenge its undetectability and robustness.To rigorously demonstrate the practical threat, we analyze the concrete attack complexity under realistic parameters and validate the attack effectiveness on both real-world large language models and generative image models, including DeepSeek and Stable Diffusion.Our analysis shows that the claimed security guarantees of LDPC-PRC are undermined across all practically feasible regimes. For example, our attacks can detect the presence of a watermark with overwhelming probability at a cost of $2^{22}$ operations.Beyond attacks, we further propose three defenses: parameter recommendation, implementation suggestion, and a revised key generation function.However, PRC-based watermarking schemes still fail to achieve 128-bit security due to inherent constraints of large generative models, such as the maximum output length of large language models.Overall, our work clarifies the concrete security limits of PRCs in real-world watermarking applications.",cs.CR,2025-12-19,,https://arxiv.org/pdf/2512.17310v2
