ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
ieee:7544625,journal,A New Density Evolution Approximation for LDPC and Multi-Edge Type LDPC Codes,⬜ 미선별,,"Sachini Jayasooriya, Mahyar Shirvanimoghaddam, Lawrence Ong, Gottfried Lechner, Sarah J. Johnson","This paper considers density evolution for low-density parity-check (LDPC) and multi-edge type LDPC (MET-LDPC) codes over the binary input additive white Gaussian noise channel. We first analyze three single-parameter Gaussian approximations for density evolution and discuss their accuracy under several conditions, namely, at low rates, with punctured and degree-one variable nodes. We observe that the assumption of symmetric Gaussian distribution for the density-evolution messages is not accurate in the early decoding iterations, particularly at low rates and with punctured variable nodes. Thus, single-parameter Gaussian approximation methods produce very poor results in these cases. Based on these observations, we then introduce a new density evolution approximation algorithm for LDPC and MET-LDPC codes. Our method is a combination of full density evolution and a single-parameter Gaussian approximation, where we assume a symmetric Gaussian distribution only after density-evolution messages closely follow a symmetric Gaussian distribution. Our method significantly improves the accuracy of the code threshold estimation. Additionally, the proposed method significantly reduces the computational time of evaluating the code threshold compared with full density evolution thereby making it more suitable for code design.",,Oct. 2016,10.1109/TCOMM.2016.2600660,https://ieeexplore.ieee.org/document/7544625
ieee:7533500,journal,Partially Repeated SC-LDPC Codes for Multiple-Access Channel,⬜ 미선별,,"Yuhao Chi, Ying Li, Guanghui Song, Yue Sun","A simple partially repeated spatially coupled low-density parity-check (SC-LDPC) code is proposed for a multiple-access channel (MAC) with a large number of users. This code is constructed by selecting part of bits of an SC-LDPC code to be repeated. Since the decoding increment is only a log-likelihood ratio (LLR) combination, compared with the original SC-LDPC code, the decoding complexity scarcely increases. It is shown that this LLR combination is effective to overcome the multi-user interference. By optimizing the ratio of coded bits for repetition, the decoding threshold of the partially repeated SC-LDPC code can be close to the MAC capacity. Experimental results show that the partially repeated SC-LDPC codes have better performance than the graph-extended and parallelly connected SC-LDPC codes over the MAC.",,Oct. 2016,10.1109/LCOMM.2016.2598146,https://ieeexplore.ieee.org/document/7533500
ieee:7518602,journal,A Serial Concatenation-Based Coding Scheme for Dimmable Visible Light Communication Systems,⬜ 미선별,,Shancheng Zhao,"Dimming control is desirable for visible light communication (VLC) systems to provide different levels of brightness. In this letter, we propose a new coding scheme for dimmable VLC systems based on serial concatenation of column-scaled (CS) low-density parity-check (LDPC) codes and constant weight codes (CWCs). In the proposed scheme, the cardinality of the finite field on which the CS LDPC code is defined varies adaptively according to the CWC. Hence, transformation between symbol metrics and bit metrics is avoided. Other advantages of the proposed scheme are described as follows: 1) its coding rates are not constrained by the dimming range as error control and dimming control are decoupled; 2) it can be easily configured to support a wide range of dimming targets; and 3) it requires essentially the same hardware architecture to implement the encoder/decoder pair. Hence, the proposed coding scheme provides an attractive candidate for VLC systems with both error and dimming control.",,Oct. 2016,10.1109/LCOMM.2016.2593734,https://ieeexplore.ieee.org/document/7518602
ieee:7548329,journal,FPGA-Based Rate-Compatible LDPC Codes for the Next Generation of Optical Transmission Systems,⬜ 미선별,,"Ding Zou, Ivan B. Djordjevic","In this paper, we propose a rate-compatible forward error-correcting (FEC) scheme based on low-density-parity check (LDPC) codes together with its software reconfigurable unified field-programmable gate array (FPGA) architecture. By FPGA emulation, we demonstrate that the proposed class of rate-compatible LDPC codes based on puncturing and generalized LDPC coding with an overhead from 25% to 46% provides a coding gain ranging from 12.67 to 13.8 dB at a post-FEC bit-error rate (BER) of 10−15. As a result, the proposed rate-compatible codes represent one of the strong FEC candidates of soft-decision FEC for both short-haul and long-haul optical transmission systems.",,Oct. 2016,10.1109/JPHOT.2016.2602063,https://ieeexplore.ieee.org/document/7548329
ieee:7482753,journal,An Efficient Joint Channel-Network Decoder for Multiuser Diversity Network Codes With LDPC Coding,⬜ 미선별,,"Heather King, Mark F. Flanagan","Diversity network codes (DNCs) were recently proposed for multiuser cooperative networks, where nonbinary network codes are superimposed over channel codes to yield high diversity gains. In this letter, we present a joint iterative channel-network decoder for use at the base station in a system employing a DNC. The scheme is based on hybrid soft/hard message passing between constituent low-complexity low-density parity-check (LDPC) decoders. It is shown that the formation of the extrinsic log-likelihood ratios to be passed between the LDPC decoders has a low-complexity implementation involving a set of permutation operations together with the well-known Jacobian logarithm. The proposed joint channel-network decoder has a significantly reduced complexity compared with the decoding structure originally presented for maximum-diversity-achieving DNCs, and achieves significant coding gain as well as full diversity gain.",,Oct. 2016,10.1109/LCOMM.2016.2575010,https://ieeexplore.ieee.org/document/7482753
ieee:7529198,journal,Optimized Design of Finite-Length Separable Circulant-Based Spatially-Coupled Codes: An Absorbing Set-Based Analysis,⬜ 미선별,,"Behzad Amiri, Amirhossein Reisizadehmobarakeh, Homa Esfahanizadeh, Jörg Kliewer, Lara Dolecek","In this paper, we characterize the finite-length performance of separable circulant-based spatially-coupled (SCB-SC) LDPC codes for transmission over the additive white Gaussian noise channel. For a general class of finite-length graph-based codes, it is known that the existence of small absorbing sets causes a performance degradation in the error floor regime. We first present the mathematical conditions for the existence of absorbing sets in binary SCB-SC codes. This analysis enables us to find the exact number of absorbing sets as a function of the design parameters. In particular, our results show that the choice of the cutting vector affects the number of absorbing sets and, therefore, the error floor performance of the code. For a fixed column weight, we find provably optimal cutting vectors that result in the least number of absorbing sets. Furthermore, we extend our analysis to nonbinary SCB-SC codes, where we show that the choice of the cutting vector is not as critical as in the binary case. We provide an algorithm which provably removes the problematic nonbinary absorbing sets from nonbinary SCB-SC codes by informed selection of edge labels. Our simulation results show the superior error floor performance of our designed binary and nonbinary SCB-SC codes compared with binary unstructured and nonbinary quasi-cyclic SC codes available in the open literature.",,Oct. 2016,10.1109/TCOMM.2016.2597287,https://ieeexplore.ieee.org/document/7529198
ieee:7426827,journal,Spatial Coupling as a Proof Technique and Three Applications,⬜ 미선별,,"Andrei Giurgiu, Nicolas Macris, Rüdiger Urbanke","The aim of this paper is to show that spatial coupling can be viewed not only as a means to build better graphical models, but also as a tool to better understand uncoupled models. The starting point is the observation that some asymptotic properties of graphical models are easier to prove in the case of spatial coupling. In such cases, one can then use the so-called interpolation method to transfer known results for the spatially coupled case to the uncoupled one. Our main use of this framework is for Low-density parity check (LDPC) codes, where we use interpolation to show that the average entropy of the codeword conditioned on the observation is asymptotically the same for spatially coupled as for uncoupled ensembles. We give three applications of this result for a large class of LDPC ensembles. The first one is a proof of the so-called Maxwell construction stating that the MAP threshold is equal to the area threshold of the BP GEXIT curve. The second is a proof of the equality between the BP and MAP GEXIT curves above the MAP threshold. The third application is the intimately related fact that the replica symmetric formula for the conditional entropy in the infinite block length limit is exact.",,Oct. 2016,10.1109/TIT.2016.2539144,https://ieeexplore.ieee.org/document/7426827
ieee:7549049,journal,Anytime Characteristics of Protograph-Based LDPC Convolutional Codes,⬜ 미선별,,"Nan Zhang, Md. Noor-A-Rahim, Badri N. Vellambi, Khoa D. Nguyen","Anytime transmission has been shown to be an effective means of stabilizing an unstable system over noisy channels. A crucial issue in implementing anytime transmission strategies is the design of anytime codes that offer good finite-length performance and asymptotic anytime properties. This paper introduces an efficient anytime code derived from protograph-based low-density parity-check convolutional codes known as extended S-LDPCC (XS-LDPCC) codes. The asymptotic anytime properties of XS-LDPCC codes over both the binary erasure channel (BEC) and the binary-input additive white Gaussian noise (BIAWGN) channel are demonstrated through density evolution. By means of certain observations verified by simulations, we provide accurate estimates of the delay exponents of XS-LDPCC codes over the BEC and the BIAWGN channel. Through simulations, the finite-length performance of XS-LDPCC codes and the effects of different code design parameters are quantified.",,Oct. 2016,10.1109/TCOMM.2016.2602202,https://ieeexplore.ieee.org/document/7549049
ieee:7498628,journal,Distributed Source–Channel Coding Using Reduced-Complexity Syndrome-Based TTCM,⬜ 미선별,,"Abdullah Aljohani, Zunaira Babar, Soon Xin Ng, Lajos Hanzo","In the context of distributed joint source-channel coding, we conceive reduced-complexity turbo trellis coded modulation (TTCM)-aided syndrome-based block decoding for estimating the cross-over probability pe of the binary symmetric channel, which models the correlation between a pair of sources. Our joint decoder achieves an accurate correlation estimation for varying correlation coefficients at 3 dB lower SNR, than conventional TTCM decoder, despite its considerable complexity reduction.",,Oct. 2016,10.1109/LCOMM.2016.2584598,https://ieeexplore.ieee.org/document/7498628
ieee:7345586,journal,On the Use of IEEE 802.11n for Industrial Communications,⬜ 미선별,,"Federico Tramarin, Stefano Vitturi, Michele Luvisotto, Andrea Zanella","In the last years, IEEE 802.11 Wireless LANs (WLANs) have proved their effectiveness for a wide range of real-time industrial communication applications. Nonetheless, the introduction of the important IEEE 802.11n amendment, which is commonly implemented in commercial devices, has not been adequately addressed in this operational framework yet. IEEE 802.11n encompasses several enhancements at both physical (PHY) and medium access control (MAC) layers that may bring considerable improvements to the performance of WLANs deployed in real-time industrial communication systems. To this regard, in this paper, we present a thorough investigation of the most important IEEE 802.11n features, addressing in particular, specific performance indicators such as timeliness and reliability, which are crucial for industrial communication systems. To this aim, after an accurate theoretical analysis, we implemented a suitable experimental setup and carried out several measurement sessions to obtain an exhaustive performance assessment. The outcomes of these experiments, on one hand, revealed that the adoption of IEEE 802.11n can actually provide significant improvements to the performance of the IEEE 802.11 WLAN in the industrial communication scenario. On the other hand, the assessment allowed to select, among the various options of IEEE 802.11n, the parameter settings which may ensure the best behavior in this specific (and demanding) field of application.",,Oct. 2016,10.1109/TII.2015.2504872,https://ieeexplore.ieee.org/document/7345586
