ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:10591719,journal,Code Synchronization in Visible Light Communication System Using Dual Orthogonal Rolling Shutter Image Sensors,"Ayumu Otsuka, Zhengqiang Tang, Shan Lu, Takaya Yamazato","A visible light communication (VLC) system offers notable advantages, and leveraging image sensors as VLC receivers holds promise. The rolling shutter image sensor stands out as a popular candidate among these sensors. However, challenges arise from signal loss from inter-frame gaps or background scans. This paper addresses these issues by introducing a low-density parity check (LDPC) code and a c...",,December 2,10.23919/comex.2024COL0009,https://ieeexplore.ieee.org/document/10591719,new
ieee:10559615,journal,Rate-Compatible LDPC Codes Based on Primitive Polynomials and Golomb Rulers,"Massimo Battaglioni, Marco Baldi, Franco Chiaraluce, Giovanni Cancellieri","We introduce and study a family of rate-compatible Low-Density Parity-Check (LDPC) codes. The design of these codes starts from simplex codes, defined by parity-check matrices having a simple form stemming from the coefficients of a primitive polynomial. For this reason, we call the new codes Primitive Rate-Compatible LDPC (PRC-LDPC) codes. By applying puncturing to these codes, we obtain a bit-le...",,Dec. 2024,10.1109/TCOMM.2024.3415597,https://ieeexplore.ieee.org/document/10559615,new
ieee:10705346,journal,Dual-Diagonal QC-LDPC Codes Free of Small Cycles From GCD Framework via Negative Coefficients,"Guohua Zhang, Mengjuan Lou, Aijing Sun, Yi Fang","A novel class of dual-diagonal (DD) quasi-cyclic (QC) low-density parity-check (LDPC) codes with girth eight is proposed. For the exponent matrix of such a DD-QC-LDPC code, the left sub-matrix is explicitly generated via new formulae which are motivated by a search algorithm based on the greatest-common-divisor (GCD) framework and a new strategy allowing negative coefficients. The right sub-matrix...",,Dec. 2024,10.1109/LCOMM.2024.3474209,https://ieeexplore.ieee.org/document/10705346,new
ieee:10613470,journal,Toward Practical HARQ-Based RC-LDPC Design for Optical Satellite-Assisted Vehicular Networks,"Cuong T. Nguyen, Hoang D. Le, Chuyen T. Nguyen, Anh T. Pham","Free-space optics (FSO)-based low-Earth orbit (LEO) satellite systems have recently aroused considerable attention as an enabling technology for the Internet of Vehicles (IoVs) applications. However, such systems face critical challenges, including cloud coverage, atmospheric turbulence, and pointing errors. This article addresses a link-layer error-control design solution, which is a combination ...",,Dec. 2024,10.1109/TAES.2024.3434768,https://ieeexplore.ieee.org/document/10613470,new
ieee:10706909,journal,Boosting Ordered Statistics Decoding of Short LDPC Codes With Simple Neural Network Models,"Guangwen Li, Xiao Yu","Ordered statistics decoding has been instrumental in addressing decoding failures that persist after normalized min-sum decoding in short low-density parity-check codes. Despite its benefits, the high computational complexity of effective ordered statistics decoding has limited its application in complexity-sensitive scenarios. To mitigate this issue, we propose a novel variant of the ordered stat...",,Dec. 2024,10.1109/LCOMM.2024.3475874,https://ieeexplore.ieee.org/document/10706909,new
ieee:10700659,journal,5G NR Codes and Modulation Deep-RL Optimization for uRLLC in Vehicular OCC,"Amirul Islam, Nikolaos Thomos, Leila Musavian","In dynamic and time-varying vehicular networks, existing vehicular communication systems cannot guarantee ultra-reliable and low latency communication (uRLLC). To address this, we propose a novel deep reinforcement learning-based vehicular optical camera communication (OCC) system with an aim to maximize the throughput and ensure uRLLC. To achieve this, our scheme chooses the optimal code rate, mo...",,Dec. 2024,10.1109/TITS.2024.3462742,https://ieeexplore.ieee.org/document/10700659,new
ieee:10495880,magazine,Dynamic write-voltage design and read-voltage optimization for MLC NAND flash memory,"Cai Runbin, Fang Yi, Shi Zhifang, Dai Lin, Han Guojun","To mitigate the impact of noise and interference on multi-level-cell (MLC) flash memory with the use of low-density parity-check (LDPC) codes, we propose a dynamic write-voltage design scheme considering the asymmetric property of raw bit error rate (RBER), which can obtain the optimal write voltage by minimizing a cost function. In order to further improve the decoding performance of flash memory...",,Dec. 2024,10.23919/JCC.ea.2022-0228.202401,https://ieeexplore.ieee.org/document/10495880,new
ieee:10684720,journal,An Embedded Module of Enhanced Turbo Product Code Algorithm,"Jianjun Luo, Yifan Shen, Boming Huang, Michael Etzkorn, Hongqiang Chen, Cong Yu","Low density parity check code (LDPC) is the most popular error correction code (ECC) for current nand flash memory controllers. Next generation flash memory, such as triple-level cell (TLC) and quad-level cell (QLC) with a higher bit error rate, bring up the demand for superior ECC algorithms providing excellent performance and acceptable hardware overhead. This letter proposes turbo product code ...",,Dec. 2024,10.1109/LES.2024.3464517,https://ieeexplore.ieee.org/document/10684720,new
ieee:10570453,journal,Capacity Achieving Channel Codes for an Erasure Queue-Channel,"Jaswanthi Mandalapu, Krishna Jagannathan, Andrew Thangaraj","We consider a queue-channel model that captures the waiting time-dependent degradation of information bits as they wait to be transmitted. Such a scenario arises naturally in quantum communications, where information bits become useless after a certain time. Trailing the capacity results obtained recently for certain queue-channels, this paper aims to construct practical channel codes for the eras...",,Dec. 2024,10.1109/TCOMM.2024.3418896,https://ieeexplore.ieee.org/document/10570453,new
ieee:10636960,journal,A Novel Ultra-Reliable Decoder of Short Rate-Compatible Codes for Mission Critical Communications,"Ke Zhang, Chunjie Li, Jian Jiao, Ye Wang, Xiao Ma, Qinyu Zhang","In this correspondence, towards the ultra-reliable low-latency requirements of mission critical communications (MCC) in autonomous driving, we design a novel ordered likelihood decoder (OLD) for short rate-compatible (RC) codes. Based on the linear approximation of ordered reliability sequence, we model the probability of test error patterns (TEPs) to the flipping weight (FW), which only correspon...",,Dec. 2024,10.1109/TVT.2024.3443136,https://ieeexplore.ieee.org/document/10636960,new
