ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:11398841,early access article,Mutual Constrained Min-Sum Check-Belief Propagation for 5G LDPC Codes: Algorithm and Implementation,"Ziqin Yan, Peihao Fan, Wu Guan, Liping Liang",State-of-the-art (SOA) designs for 5G New Radio (NR) low-density parity-check (LDPC) face a dilemma: enduring the high complexity of cumulative calculations or accepting performance degradation from unreliable messages for degree-1 variable nodes (VNs). This paper introduces the mutual constrained min-sum check-belief propagation (MCMS-CBP) decoding algorithm to resolve this dilemma. By establishi...,,,10.1109/TCSI.2026.3664688,https://ieeexplore.ieee.org/document/11398841,new
ieee:11349655,early access article,General-Purpose QC-LDPC Processor for Error-Correction Performance Evaluation,"Kangjoon Choi, Jongmin Baek, In-Cheol Park","This paper introduces a general-purpose quasi-cyclic (QC)-low-density parity-check (LDPC) processor (GPLP) developed to evaluate LDPC decoding performance, which is a highly flexible and programmable field programmable gate array (FPGA)-based simulation platform. The GPLP enables to configure LDPC decoding processes, depending on the decoding algorithms and design choices to be simulated and verif...",,,10.1109/TCSI.2026.3652226,https://ieeexplore.ieee.org/document/11349655,new
ieee:11556270,early access article,Design of Periodically Connected Root Protograph LDPC Codes for Block-Fading Channel,"Yejin Lee, Minseok Han, Hosung Park","Existing root protograph (RP) low-density parity-check (LDPC) codes are constrained to a code rate of 1/L or slightly less for specific values of L, the number of fading blocks, while achieving full diversity in the block-fading (BF) channel. To overcome these limitations, we propose a systematic method to construct periodically connected RP (PCRP) LDPC codes of various rates 1/n for n ≤ L. The PC...",,,10.1109/LWC.2026.3701507,https://ieeexplore.ieee.org/document/11556270,new
ieee:11371468,early access article,An Improved Scheduling Scheme for Layered Decoding of 5 G LDPC Codes,"Xinle Jia, Yangcan Zhou, Tianjiao Xie, Zhongfeng Wang","In this letter, an improved scheduling scheme is proposed for the layered decoding of 5 G LDPC codes. Specifically, two novel techniques are introduced. Firstly, the delayed update of core matrix (DUCM) is proposed which can be incorporated with any layered-based scheduling schemes to improve error-correction performance. Secondly, a semi-dynamic scheduling scheme (SDSS) is developed which can out...",,,10.1109/TVT.2026.3660514,https://ieeexplore.ieee.org/document/11371468,new
ieee:11552809,early access article,Rate-Compatible Protograph low-density parity-check Codes with Transfer Learning-Based Decoding for Spin-Transfer Torque Magnetic Random Access Memory,"Jie Dong, Kui Cai, Zhen Mei, Bin Dai, Bo Wang","Spin-transfer torque magnetic random access memory (STT-MRAM) is a promising non-volatile memory. However, fabrication process variations lead to diversity in raw bit error rates across memory dies, making conventional fixed-rate error correction codes (ECCs) inefficient due to high coding redundancy and reduced memory storage density. Furthermore, the existing deep learning (DL)-based decoding ap...",,,10.1109/TMAG.2026.3700563,https://ieeexplore.ieee.org/document/11552809,new
ieee:11543264,early access article,Concatenated Codes for Burst Insertion/Deletion Channels: Capacity Bounds and Detection Algorithm Design,"Guochen Ma, Xiaopeng Jiao, Jianjun Mu, Hui Han","We introduce a probabilistic burst insertion/deletion channel (BIDC) model and investigate practical concatenated coding schemes for BIDCs with multiple burst errors. First, the existence of channel capacity for BIDCs is established, and the capacity upper and lower bounds for BIDCs are analyzed and computed. For the capacity upper bound, genie-aided information is provided to the receiver, and th...",,,10.1109/TCOMM.2026.3698858,https://ieeexplore.ieee.org/document/11543264,new
ieee:11229999,book,Performance Comparisons,"Mohammad Rowshan, Emanuele Viterbo",Summary This chapter numerically compares the error correction performance of polar codes and polar&#x2010;like codes under various decoding algorithms. The results are plotted in figures that depict the frame error rate versus SNR per information bit. These results are obtained based on the 5G reliability sequence. These comparisons are performed with Turbo codes that were relevant in the prev...,,,10.1002/9781119911760.ch13,https://ieeexplore.ieee.org/document/11229999,new
ieee:11527381,early access article,Encoding Spatially Coupled LDPC codes with Polynomial Generator Matrices,"Massimo Battaglioni, Franco Chiaraluce, Marco Baldi","Spatially coupled low-density parity-check (SC-LDPC) codes have recently attracted a lot of attention because of their optimal asymptotic performance. Time-invariant and periodically time-varying SC-LDPC codes are particularly interesting code families, since they have good finite-length performance and allow for a very compact representation. However, one of the key challenges to make SC-LDPC cod...",,,10.1109/TIT.2026.3695390,https://ieeexplore.ieee.org/document/11527381,new
ieee:11230001,book,Conceptual Channels in 5G New Radio,"Mohammad Rowshan, Emanuele Viterbo",,,,10.1002/9781119911760.app1,https://ieeexplore.ieee.org/document/11230001,new
ieee:11354127,book,Quantum Topological Error Correction Codes: The Classical&#x2010;to&#x2010;quantum Isomorphism Perspective,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo","In this chapter, we explore the family of quantum topological error correction codes (QTECCs) by developing their foundations from those of classical lattice&#x2010;based error correction codes. The classical construction of topological codes using square and triangular lattices is first introduced, showing their relationship with respect to low&#x2010;density parity&#x2010;check (LDPC) codes. ...",,,10.1002/9781394331963.ch07,https://ieeexplore.ieee.org/document/11354127,new
