ID,Type,Title,Status,Reason,Authors,Abstract,Categories,Published,DOI,PDF URL
arxiv:2410.23980v1,preprint,A Comparative Study of Ensemble Decoding Methods for Short Length LDPC Codes,✅,단길이 LDPC BP 개선을 위한 앙상블 디코딩(MBBP/AED/SED 등) 비교 — 이식 가능 디코더 알고리즘(C),"Felix Krieg, Jannis Clausius, Marvin Geiselhart, Stephan ten Brink","To alleviate the suboptimal performance of belief propagation (BP) decoding of short low-density parity-check (LDPC) codes, a plethora of improved decoding algorithms has been proposed over the last two decades. Many of these methods can be described using the same general framework, which we call ensemble decoding: A set of independent constituent decoders works in parallel on the received sequence, each proposing a codeword candidate. From this list, the maximum likelihood (ML) decision is designated as the decoder output. In this paper, we qualitatively and quantitatively compare different realizations of the ensemble decoder, namely multiple-bases belief propagation (MBBP), automorphism ensemble decoding (AED), scheduling ensemble decoding (SED), noise-aided ensemble decoding (NED) and saturated belief propagation (SBP). While all algorithms can provide gains over traditional BP decoding, ensemble methods that exploit the code structure, such as MBBP and AED, typically show greater performance improvements.",cs.IT,2024-10-31,,https://arxiv.org/pdf/2410.23980v1
arxiv:2410.22946v1,preprint,KALAM: toolKit for Automating high-Level synthesis of Analog computing systeMs,✅,"팩터그래프 기반 아날로그 LDPC 디코더 자동 합성 툴킷 — 이식 가능 디코더 HW 합성 기법(C/D), 애매하나 살림","Ankita Nandi, Krishil Gandhi, Mahendra Pratap Singh, Shantanu Chakrabartty, Chetan Singh Thakur","Diverse computing paradigms have emerged to meet the growing needs for intelligent energy-efficient systems. The Margin Propagation (MP) framework, being one such initiative in the analog computing domain, stands out due to its scalability across biasing conditions, temperatures, and diminishing process technology nodes. However, the lack of digital-like automation tools for designing analog systems (including that of MP analog) hinders their adoption for designing large systems. The inherent scalability and modularity of MP systems present a unique opportunity in this regard. This paper introduces KALAM (toolKit for Automating high-Level synthesis of Analog computing systeMs), which leverages factor graphs as the foundational paradigm for synthesizing MP-based analog computing systems. Factor graphs are the basis of various signal processing tasks and, when coupled with MP, can be used to design scalable and energy-efficient analog signal processors. Using Python scripting language, the KALAM automation flow translates an input factor graph to its equivalent SPICE-compatible circuit netlist that can be used to validate the intended functionality. KALAM also allows the integration of design optimization strategies such as precision tuning, variable elimination, and mathematical simplification. We demonstrate KALAM's versatility for tasks such as Bayesian inference, Low-Density Parity Check (LDPC) decoding, and Artificial Neural Networks (ANN). Simulation results of the netlists align closely with software implementations, affirming the efficacy of our proposed automation tool.","eess.SY, cs.AR, cs.ET, cs.LG, eess.SP",2024-10-30,,https://arxiv.org/pdf/2410.22946v1
arxiv:2410.22606v2,preprint,Testing Tensor Products of Algebraic Codes,❌,"텐서곱 대수기하 부호의 local testability 순수 이론 — 양자 LDPC 동기, 디코더/HW로 안 이어지는 이론 bound","Sumegha Garg, Madhu Sudan, Gabriel Wu","Motivated by recent advances in locally testable codes and quantum LDPCs based on robust testability of tensor product codes, we explore the local testability of tensor products of (an abstraction of) algebraic geometry codes. Such codes are parameterized by, in addition to standard parameters such as block length $n$ and dimension $k$, their genus $g$. We show that the tensor product of two algebraic geometry codes is robustly locally testable provided $n = Ω((k+g)^2)$. Apart from Reed-Solomon codes, this seems to be the first explicit family of two-wise tensor codes of high dual distance that is robustly locally testable by the natural test that measures the expected distance of a random row/column from the underlying code.",cs.IT,2024-10-30,,https://arxiv.org/pdf/2410.22606v2
arxiv:2410.14662v1,preprint,Quantum LDPC Codes with Transversal Non-Clifford Gates via Products of Algebraic Codes,❌,"transversal non-Clifford 게이트 지원 양자 LDPC 구성 — 양자 전용(스태빌라이저/magic state) 의존, 원칙 제외","Louis Golowich, Ting-Chun Lin","For every integer $r\geq 2$ and every $ε>0$, we construct an explicit infinite family of quantum LDPC codes supporting a transversal $C^{r-1}Z$ gate with length $N$, dimension $K\geq N^{1-ε}$, distance $D\geq N^{1/r}/\operatorname{poly}(\log N)$, and stabilizer weight $w\leq\operatorname{poly}(\log N)$. The previous state of the art construction (in most parameter regimes) was the $r$-dimensional color code, which has only constant dimension $K=O(1)$, and otherwise has the same parameters up to polylogarithmic factors. Our construction provides the first known codes with low-weight stabilizers that are capable of magic state distillation with arbitrarily small yield parameter $γ=\log(N/K)/\log(D)>0$.   A classical analogue of transversal $C^{r-1}Z$ gates is given by the multiplication property, which requires component-wise products of classical codewords to belong to another similar code. As a byproduct of our techniques, we also obtain a new construction of classical locally testable codes with such a multiplication property.   We construct our codes as products of chain complexes associated to classical LDPC codes, which in turn we obtain by imposing local Reed-Solomon codes on a specific spectral expander that we construct. We prove that our codes support the desired transversal $C^{r-1}Z$ gates by using the multiplication property to combine local circuits based on the topological structure.","quant-ph, cs.CC, cs.IT",2024-10-18,,https://arxiv.org/pdf/2410.14662v1
arxiv:2410.14631v1,preprint,Transversal non-Clifford gates for quantum LDPC codes on sheaves,❌,"sheaf 기반 양자 LDPC의 transversal non-Clifford 게이트 — 양자 전용 개념 의존, 원칙 제외",Ting-Chun Lin,"A major goal in quantum computing is to build a fault-tolerant quantum computer. One approach involves quantum low-density parity-check (qLDPC) codes that support transversal non-Clifford gates. In this work, we provide a large family of such codes. The key insight is to interpret the logical operators of qLDPC codes as geometric surfaces and use the intersection number of these surfaces to define the non-Clifford operation. At a more abstract level, this construction is based on defining the cup product on the chain complex induced from a sheaf.","quant-ph, cs.CC, cs.IT",2024-10-18,,https://arxiv.org/pdf/2410.14631v1
arxiv:2410.13131v1,preprint,Study of Weighted Residual Layered Belief Propagation for Decoding of LDPC Codes,✅,"가중 잔차 계층 BP(WR-LBP) — 반복 수 감소 위한 정보 기반 동적 스케줄링 디코더, 이식 가능 디코더 개선(C)","H. Touati, R. C. de Lamare","In this work, we investigate the decoding of Low-Density Parity-Check (LDPC) codes using informed dynamic scheduling algorithms that require a reduced number of iterations. In particular, we devise the weighted residual layered belief propagation (WR-LBP) decoding algorithm, which exploits the residual within a structured layer framework to speed the number of required decoding iterations. The proposed WR-LBP algorithm is assessed against important LDPC decoding algorithms, in terms of the number of iterations required for convergence and the bit error rates.",cs.IT,2024-10-17,,https://arxiv.org/pdf/2410.13131v1
arxiv:2410.11942v5,preprint,Operator algebra and algorithmic construction of boundaries and defects in (2+1)D topological Pauli stabilizer codes,❌,"(2+1)D 양자 Pauli 스태빌라이저 부호의 경계/결함 구성 — qudit 양자 EC, 양자 전용 개념 의존, 원칙 제외","Zijian Liang, Bowen Yang, Joseph T. Iosue, Yu-An Chen","Quantum low-density parity-check codes, such as the Kitaev toric code and bivariate bicycle codes, are often defined with periodic boundary conditions, which are difficult to realize in physical systems. In this paper, we present an algorithm for constructing all gapped boundaries and defects of two-dimensional Pauli stabilizer codes. Using the operator algebra formalism, we establish a one-to-one correspondence between the topological data, such as anyon fusion rules and topological spins, of two-dimensional bulk stabilizer codes and one-dimensional boundary anomalous subsystem codes. To make the operator algebra computationally accessible, we adapt Laurent polynomials and convert the tasks into matrix operations, e.g., the Hermite normal form for obtaining boundary anyons and the Smith normal form for determining fusion rules. This approach enables computers to automatically generate all possible gapped boundaries and defects for topological Pauli stabilizer codes through boundary anyon condensation and topological order completion. This streamlines the analysis of surface codes and associated logical operations for fault-tolerant quantum computation. Our algorithm applies to $\mathbb{Z}_d$ qudits for both prime and nonprime $d$, enabling exploration of topological phases beyond the Kitaev toric code. We have applied the algorithm and explicitly demonstrated the lattice constructions of 2 boundaries and 6 defects in the $\mathbb{Z}_2$ toric code, 3 boundaries and 22 defects in the $\mathbb{Z}_4$ toric code, 1 boundary and 2 defects in the double semion code, 1 boundary and 22 defects in the six-semion code, 6 boundaries and 270 defects in the color code, and 6 defects in the anomalous three-fermion code. Finally, we study the boundaries of bivariate bicycle codes, showing that they exhibit large logical dimensions and anyons with long translation periods.","quant-ph, cond-mat.str-el, math-ph, math.QA",2024-10-15,,https://arxiv.org/pdf/2410.11942v5
arxiv:2410.11111v2,preprint,A Combinatorial Approach to Avoiding Weak Keys in the BIKE Cryptosystem,✅,"QC-MDPC Tanner gra프 4-cycle 열거·필터링 기법, 일반 parity-check 코드에 적용 가능하다고 명시 — 사이클 제거/girth 코드설계(E)로 이식 가능, 애매하나 살림","Gretchen L Matthews, Emily McMillon","Bit Flipping Key Encapsulation (BIKE) is a code-based cryptosystem that was considered in Round 4 of the NIST Post-Quantum Cryptography Standardization process. It is based on quasi-cyclic moderate-density parity-check (QC-MDPC) codes paired with an iterative decoder. While (low-density) parity-check codes have been shown to perform well in practice, their capabilities are governed by the code's graphical representation and the choice of decoder rather than the traditional code parameters, making it difficult to determine the decoder failure rate (DFR). Moreover, decoding failures have been demonstrated to lead to attacks that recover the BIKE private key. In this paper, we demonstrate a strong correlation between weak keys and $4$-cycles in their associated Tanner graphs. We give concrete ways to enumerate the number of 4-cycles in a BIKE key and use these results to present a filtering algorithm that will filter BIKE keys with large numbers of 4-cycles. These results also apply to more general parity check codes.",cs.IT,2024-10-14,,https://arxiv.org/pdf/2410.11111v2
arxiv:2410.07998v1,preprint,A Graphical Correlation-Based Method for Counting the Number of Global 8-Cycles on the SCRAM Three-Layer Tanner Graph,✅,"고전 LDPC 사이클 분석 도구 차용한 신규 8-cycle 카운팅·girth 하한 기법 — 코드설계(E) 이식 가능성, 3-layer 구조 종속이라 애매하나 살림","Sally Nafie, Joerg Robert, Albert Heuberger","This paper presents a novel graphical approach that counts the number of global 8-cycles on the SCRAM three-layer Tanner graph. SCRAM, which stands for Slotted Coded Random Access Multiplexing, is a joint decoder that is meets challenging requirements of 6G. At the transmitter side, the data of the accommodated users is encoded by Low Density Parity Check (LDPC) codes, and the codewords are transmitted over the shared channel by means of Slotted ALOHA. Unlike the state-of-the-art sequential decoders, the SCRAM decoder jointly resolves collisions and decodes the LDPC codewords, in a similar analogy to Belief Propagation on a three-layer Tanner graph. By leveraging the analogy between the two-layer Tanner graph of conventional LDPC codes and the three-layer Tanner graph of SCRAM, the well-developed analysis tools of classical LDPC codes could be utilized to enhance the performance of SCRAM. In essence, the contribution of this paper is three-fold; First it proposes the methodology to utilize these tools to assess the performance of SCRAM. Second, it derives a lower bound on the shortest cycle length of an arbitrary SCRAM Tanner graph. Finally, the paper presents a novel graphical method that counts the number of cycles of length that corresponds to the girth.",cs.IT,2024-10-10,,https://arxiv.org/pdf/2410.07998v1
arxiv:2410.07887v1,preprint,Collision Diversity SCRAM: Beyond the Sphere-Packing Bound,❌,"6G NOMA용 SCRAM 다중접속 정보이론 기법, LDPC는 베이스라인 — 떼어낼 디코더/HW/코드설계 기여 없음","Sally Nafie, Joerg Robert, Albert Heuberger","This paper presents a novel scheme dubbed Collision Diversity (CoD) SCRAM, which is provisioned to meet the challenging requirements of the future 6G, portrayed in massive connectivity, reliability, and ultra-low latency. The conventional SCRAM mechanism, which stands for Slotted Coded Random Access Multiplexing, is a hybrid decoding scheme, that jointly resolves collisions and decodes the Low Density Parity Check (LDPC) codewords, in a similar analogy to Belief Propagation (BP) decoding on a joint three-layer Tanner graph. The CoD SCRAM proposed herein tends to enhance the performance of SCRAM by adopting an information-theoretic approach that tends to maximize the attainable Spectral Efficiency. Besides, due to the analogy between the two-layer Tanner graph of classical LDPC codes, and the three-layer Tanner graph of SCRAM, the CoD SCRAM adopts the well-developed tools utilized to design powerful LDPC codes. Finally, the proposed CoD scheme tends to leverage the collisions among the users in order to induce diversity. Results show that the proposed CoD SCRAM scheme surpasses the conventional SCRAM scheme, which is superior to the state-of-the-art Non-Orthogonal Multiple Access (NOMA) schemes. Additionally, by leveraging the collisions, the CoD SCRAM tends to surpass the Sphere-Packing Bound (SPB) at the respective information block length of the underlying LDPC codes of the accommodated users.",cs.IT,2024-10-10,,https://arxiv.org/pdf/2410.07887v1
